"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,445123784,1371348,6015063,5646,378176732,1407756,60931989,72014,57105.0,771.7,44479318266,2730575055,42067826716,All,32.6,0.1,1448.4
China,110539,281,4636,0,102438,120,3465,14,77.0,3.0,160000000,111163,1439323776,Asia,0.2,0.0,2.4
USA,80912619,16213,983837,328,54594944,164063,25333838,6320,242074.0,2943.0,956334581,2861161,334247090,North America,48.5,1.0,75793.7
India,42962953,5476,515063,155,42388475,9754,59415,8944,30629.0,367.0,772824246,550963,1402680212,Asia,3.9,0.1,42.4
Brazil,29033052,58737,651988,645,26982294,72813,1398770,8318,134984.0,3031.0,63776166,296516,215084963,South America,273.1,3.0,6503.3
France,23011998,53678,139243,120,21569704,86381,1303051,2484,351248.0,2125.0,246629975,3764483,65514958,Europe,819.3,1.8,19889.4
UK,19119181,0,162008,0,17537214,0,1419959,264,279185.0,2366.0,485037295,7082687,68482101,Europe,0.0,0.0,20734.7
Russia,16861793,86769,355537,750,14418916,155725,2087340,2300,115461.0,2435.0,273400000,1872102,146039069,Europe,594.1,5.1,14293.0
Germany,15723907,144427,124670,153,12033600,135100,3565637,2494,186674.0,1480.0,104701826,1243021,84231776,Europe,1714.6,1.8,42331.3
Turkey,14326217,32389,95379,174,13694075,57894,536763,1011,166864.0,1111.0,145746122,1697569,85855776,Asia,377.2,2.0,6251.9
Italy,12990223,39963,155782,173,11815610,46147,1018831,609,215379.0,2583.0,189484157,3141670,60313202,Europe,662.6,2.9,16892.3
Spain,11100428,0,100431,0,9861014,0,1138983,851,237264.0,2147.0,471036328,10068095,46785052,Europe,0.0,0.0,24345.0
Argentina,8934328,4430,126708,84,8729665,9649,77955,1009,194695.0,2761.0,34473709,751242,45888932,South America,96.5,1.8,1698.8
Iran,7084306,4089,137747,154,6719004,9873,227555,3983,82578.0,1606.0,47647542,555401,85789486,Asia,47.7,1.8,2652.5
Netherlands,6640403,67208,21608,9,4821136,91957,1797659,159,386109.0,1256.0,21107399,1227299,17198250,Europe,3907.8,0.5,104525.7
Colombia,6070616,1191,139037,53,5899197,1614,32382,342,117218.0,2685.0,33325965,643492,51789284,South America,23.0,1.0,625.3
Poland,5734041,12737,112535,199,5115918,5901,505588,637,151785.0,2979.0,34029943,900804,37777317,Europe,337.2,5.3,13383.4
Indonesia,5723858,30156,149918,322,5073522,46669,500418,2911,20563.0,539.0,86750007,311650,278357473,Asia,108.3,1.2,1797.8
Mexico,5554392,9748,319604,308,4832173,10770,402615,4798,42336.0,2436.0,15198795,115847,131196689,North America,74.3,2.3,3068.8
Japan,5274596,64333,24604,255,4579176,79697,670816,1399,41919.0,196.0,39747311,315883,125829212,Asia,511.3,2.0,5331.2
Ukraine,4809624,0,105505,0,4058020,0,646099,177,111091.0,2437.0,19521252,450894,43294540,Europe,0.0,0.0,14923.3
Vietnam,4232520,131817,40726,82,2616002,26566,1575792,4249,42838.0,412.0,79958878,809281,98802388,Asia,1334.1,0.8,15948.9
S. Korea,4212652,254326,8796,216,969524,0,3234332,896,82049.0,171.0,15804065,307814,51342944,Asia,4953.5,4.2,62994.7
South Africa,3683172,1735,99543,26,3559951,2582,23678,546,60820.0,1644.0,23226664,383542,60558288,Africa,28.7,0.4,391.0
Israel,3669119,7048,10274,10,3599664,14372,59181,439,393429.0,1102.0,41373364,4436346,9326000,Asia,755.7,1.1,6345.8
Philippines,3666672,935,56879,109,3560293,1652,49500,292,32733.0,508.0,28340201,252996,112018293,Asia,8.3,1.0,441.9
Czechia,3624948,8254,38909,25,3503729,12329,82310,173,337450.0,3622.0,52820750,4917130,10742192,Europe,768.4,2.3,7662.3
