"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,265690530,530551,5266554,6031,239378780,377784,21045196,86675,34086.0,675.6,39139675902,2522458683,47201773968,All,11.2,0.1,445.9
China,99083,90,4636,0,93434,49,1013,12,69.0,3.0,160000000,111163,1439323776,Asia,0.1,0.0,0.7
USA,49934791,56742,808608,492,39498111,34866,9628072,13725,149608.0,2423.0,760171483,2277526,333770690,North America,170.0,1.5,28846.4
India,34633255,8895,473326,372,34053856,8190,106073,8944,24750.0,338.0,646026786,461663,1399346585,Asia,6.4,0.3,75.8
Brazil,22138247,8838,615606,152,21359352,1940,163289,8318,103106.0,2867.0,63776166,297028,214713983,South America,41.2,0.7,760.5
UK,10420397,42612,145551,127,9188131,32065,1086715,895,152357.0,2128.0,366108215,5352883,68394590,Europe,623.0,1.9,15888.9
Russia,9769011,32974,280072,1215,8471813,35182,1017126,2300,66900.0,1918.0,227400000,1557281,146023734,Europe,225.8,8.3,6965.5
Turkey,8881760,20374,77645,228,8412434,19463,391681,1405,103719.0,907.0,109098818,1274032,85632738,Asia,237.9,2.7,4574.0
France,7875012,51624,119506,49,7168188,12369,587318,2058,120267.0,1825.0,167925512,2564549,65479543,Europe,788.4,0.7,8969.5
Germany,6143856,46379,103530,222,5058100,34800,982226,4636,72997.0,1230.0,85782441,1019205,84166070,Europe,551.0,2.6,11670.1
Iran,6131356,2157,130124,58,5916199,7298,85033,3278,71691.0,1521.0,39093355,457098,85525133,Asia,25.2,0.7,994.2
Argentina,5339382,1690,116643,4,5200141,2042,22598,657,116613.0,2548.0,26387800,576316,45787050,South America,36.9,0.1,493.5
Spain,5202958,0,88159,0,4927391,0,187408,814,111220.0,1885.0,66213858,1415412,46780614,Europe,0.0,0.0,4006.1
Italy,5094061,16621,134152,75,4736202,8988,223707,732,84430.0,2223.0,121810009,2018895,60334978,Europe,275.5,1.2,3707.7
Colombia,5078987,2609,128733,48,4918619,2306,31635,342,98323.0,2492.0,28293690,547733,51656000,South America,50.5,0.9,612.4
Indonesia,4257489,246,143863,5,4105994,314,7632,0,15334.0,518.0,55613822,200304,277646675,Asia,0.9,0.0,27.5
Mexico,3897452,3088,294903,188,3253066,2588,349483,4798,29783.0,2254.0,11925712,91131,130863794,North America,23.6,1.4,2670.6
Poland,3649032,25581,85630,502,3116875,25616,446527,1978,96567.0,2266.0,24870097,658157,37787471,Europe,677.0,13.3,11816.8
Ukraine,3490855,13206,88002,436,3041385,22765,361468,177,80511.0,2030.0,16051772,370208,43358808,Europe,304.6,10.1,8336.7
South Africa,3020569,16366,89965,21,2855474,2576,75130,546,50031.0,1490.0,19715126,326548,60374425,Africa,271.1,0.3,1244.4
Philippines,2834172,395,49230,243,2770489,902,14453,899,25382.0,441.0,24390103,218433,111659609,Asia,3.5,2.2,129.4
Netherlands,2728876,22613,19642,56,2147210,10152,562024,600,158758.0,1143.0,19205114,1117294,17188954,Europe,1315.6,3.3,32696.8
Malaysia,2654474,4896,30574,36,2561232,4678,62668,490,80544.0,928.0,38278869,1161479,32957005,Asia,148.6,1.1,1901.5
Peru,2242646,1619,201360,34,0,0,0,969,66693.0,5988.0,20511702,609989,33626370,South America,48.1,1.0,0.0
Czechia,2229764,17666,33635,100,1922134,662,273995,1052,207665.0,3133.0,44205461,4116991,10737322,Europe,1645.3,9.3,25518.0
Thailand,2136537,5896,20915,37,2042666,5666,72956,1369,30500.0,299.0,14913135,212893,70049814,Asia,84.2,0.5,1041.5
Iraq,2083889,374,23873,6,2049194,816,10822,105,50205.0,575.0,16417858,395540,41507449,Asia,9.0,0.1,260.7
Belgium,1827467,17910,27167,47,1358257,6702,442043,821,156709.0,2330.0,25109681,2153200,11661562,Europe,1535.8,4.0,37906.0
Canada,1805070,2711,29766,9,1746170,889,29134,497,47236.0,779.0,49099908,1284868,38213959,North America,70.9,0.2,762.4
Romania,1785120,1490,57026,111,1699083,3800,29011,948,93685.0,2993.0,16147097,847414,19054546,Europe,78.2,5.8,1522.5
Chile,1770620,2036,38465,26,1662877,1853,69278,692,91504.0,1988.0,25879136,1337412,19350159,South America,105.2,1.3,3580.2
Japan,1727701,141,18364,1,1708505,160,832,28,13720.0,146.0,28101312,223161,125924001,Asia,1.1,0.0,6.6
Bangladesh,1577246,176,27995,6,1542048,162,7203,1379,9443.0,168.0,10962474,65632,167028441,Asia,1.1,0.0,43.1
Israel,1345492,409,8204,1,1331744,247,5544,111,144273.0,880.0,31188024,3344202,9326000,Asia,43.9,0.1,594.5
Vietnam,1294778,13998,26061,203,1007566,1107,261151,6788,13133.0,264.0,69698432,706972,98587244,Asia,142.0,2.1,2648.9
Pakistan,1286453,431,28761,8,1245344,189,12348,858,5667.0,127.0,22165834,97647,227000663,Asia,1.9,0.0,54.4
Serbia,1262419,1613,11876,39,1206586,3728,43957,164,145320.0,1367.0,6872899,791157,8687151,Europe,185.7,4.5,5060.0
Sweden,1212145,0,15136,0,1161101,0,35908,43,118965.0,1486.0,13708481,1345411,10189069,Europe,0.0,0.0,3524.2
Austria,1193286,7304,12753,60,1063484,13433,117049,648,131424.0,1405.0,112234412,12361048,9079684,Europe,804.4,6.6,12891.3
Portugal,1163001,5649,18514,22,1085654,3233,58833,130,114533.0,1823.0,21748627,2141817,10154287,Europe,556.3,2.2,5793.9
