"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,268704499,602671,5302121,7049,241719293,429328,21683085,88961,34472.0,680.2,39659430879,2559035061,47206688334,All,12.8,0.1,459.3
China,99454,83,4636,0,93628,26,1190,24,69.0,3.0,160000000,111163,1439323776,Asia,0.1,0.0,0.8
USA,50535593,110696,815269,1088,39879448,63582,9840876,14647,151399.0,2442.0,769966461,2306726,333791863,North America,331.6,3.3,29482.1
India,34674408,8167,474390,279,34097388,8251,102630,8944,24776.0,339.0,651950127,465847,1399494746,Asia,5.8,0.2,73.3
Brazil,22177059,9278,616504,206,21407699,8383,152856,8318,103279.0,2871.0,63776166,297006,214730471,South America,43.2,1.0,711.9
UK,10660981,50867,146135,148,9378165,37775,1136681,890,155866.0,2137.0,373037852,5453891,68398479,Europe,743.7,2.2,16618.5
Russia,9925806,30209,286004,1181,8637861,35794,1001941,2300,67974.0,1959.0,229800000,1573709,146024415,Europe,206.9,8.1,6861.5
Turkey,8984407,19696,78602,195,8543785,27263,362020,1128,104906.0,918.0,110866117,1294520,85642651,Asia,230.0,2.3,4227.1
France,8105785,56854,120168,136,7252512,21087,733105,2461,123788.0,1835.0,170480237,2603502,65481117,Europe,868.3,2.1,11195.7
Germany,6355888,16295,105010,78,5225700,0,1025178,4636,75513.0,1248.0,85782441,1019169,84168990,Europe,193.6,0.9,12180.0
Iran,6147872,3228,130524,78,5950425,6958,66923,3169,71874.0,1526.0,39739512,464589,85536882,Asia,37.7,0.9,782.4
Argentina,5350867,2744,116719,11,5209333,2422,24815,707,116853.0,2549.0,26575189,580351,45791578,South America,59.9,0.2,541.9
Spain,5273178,13957,88321,50,4941596,2089,243261,1041,112721.0,1888.0,66213858,1415406,46780811,Europe,298.3,1.1,5200.0
Italy,5164780,12527,134551,79,4775676,7098,254553,811,85603.0,2230.0,124209339,2058695,60334010,Europe,207.6,1.3,4219.1
Colombia,5088008,1627,128969,40,4928885,1781,30154,342,98487.0,2496.0,28506132,551782,51661923,South America,31.5,0.8,583.7
