"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"265,690,530","530,551","5,266,554","6,031","239,378,780","377,784","21,045,196","86,675","34,086",675.6,,,,All
China,"99,083",90,"4,636",,"93,434",49,"1,013",12,69,3,"160,000,000","111,163","1,439,323,776",Asia
USA,"49,934,791","56,742","808,608",492,"39,498,111","34,866","9,628,072","13,725","149,608","2,423","760,171,483","2,277,526","333,770,690",North America
India,"34,633,255","8,895","473,326",372,"34,053,856","8,190","106,073","8,944","24,750",338,"646,026,786","461,663","1,399,346,585",Asia
Brazil,"22,138,247","8,838","615,606",152,"21,359,352","1,940","163,289","8,318","103,106","2,867","63,776,166","297,028","214,713,983",South America
UK,"10,420,397","42,612","145,551",127,"9,188,131","32,065","1,086,715",895,"152,357","2,128","366,108,215","5,352,883","68,394,590",Europe
Russia,"9,769,011","32,974","280,072","1,215","8,471,813","35,182","1,017,126","2,300","66,900","1,918","227,400,000","1,557,281","146,023,734",Europe
Turkey,"8,881,760","20,374","77,645",228,"8,412,434","19,463","391,681","1,405","103,719",907,"109,098,818","1,274,032","85,632,738",Asia
France,"7,875,012","51,624","119,506",49,"7,168,188","12,369","587,318","2,058","120,267","1,825","167,925,512","2,564,549","65,479,543",Europe
Germany,"6,143,856","46,379","103,530",222,"5,058,100","34,800","982,226","4,636","72,997","1,230","85,782,441","1,019,205","84,166,070",Europe
Iran,"6,131,356","2,157","130,124",58,"5,916,199","7,298","85,033","3,278","71,691","1,521","39,093,355","457,098","85,525,133",Asia
Argentina,"5,339,382","1,690","116,643",4,"5,200,141","2,042","22,598",657,"116,613","2,548","26,387,800","576,316","45,787,050",South America
Spain,"5,202,958",,"88,159",,"4,927,391",,"187,408",814,"111,220","1,885","66,213,858","1,415,412","46,780,614",Europe
Italy,"5,094,061","16,621","134,152",75,"4,736,202","8,988","223,707",732,"84,430","2,223","121,810,009","2,018,895","60,334,978",Europe
Colombia,"5,078,987","2,609","128,733",48,"4,918,619","2,306","31,635",342,"98,323","2,492","28,293,690","547,733","51,656,000",South America
Indonesia,"4,257,489",246,"143,863",5,"4,105,994",314,"7,632",,"15,334",518,"55,613,822","200,304","277,646,675",Asia
Mexico,"3,897,452","3,088","294,903",188,"3,253,066","2,588","349,483","4,798","29,783","2,254","11,925,712","91,131","130,863,794",North America
Poland,"3,649,032","25,581","85,630",502,"3,116,875","25,616","446,527","1,978","96,567","2,266","24,870,097","658,157","37,787,471",Europe
Ukraine,"3,490,855","13,206","88,002",436,"3,041,385","22,765","361,468",177,"80,511","2,030","16,051,772","370,208","43,358,808",Europe
South Africa,"3,020,569","16,366","89,965",21,"2,855,474","2,576","75,130",546,"50,031","1,490","19,715,126","326,548","60,374,425",Africa
Philippines,"2,834,172",395,"49,230",243,"2,770,489",902,"14,453",899,"25,382",441,"24,390,103","218,433","111,659,609",Asia
Netherlands,"2,728,876","22,613","19,642",56,"2,147,210","10,152","562,024",600,"158,758","1,143","19,205,114","1,117,294","17,188,954",Europe
Malaysia,"2,654,474","4,896","30,574",36,"2,561,232","4,678","62,668",490,"80,544",928,"38,278,869","1,161,479","32,957,005",Asia
Peru,"2,242,646","1,619","201,360",34,N/A,N/A,N/A,969,"66,693","5,988","20,511,702","609,989","33,626,370",South America
Czechia,"2,229,764","17,666","33,635",100,"1,922,134",662,"273,995","1,052","207,665","3,133","44,205,461","4,116,991","10,737,322",Europe
Thailand,"2,136,537","5,896","20,915",37,"2,042,666","5,666","72,956","1,369","30,500",299,"14,913,135","212,893","70,049,814",Asia
Iraq,"2,083,889",374,"23,873",6,"2,049,194",816,"10,822",105,"50,205",575,"16,417,858","395,540","41,507,449",Asia
Belgium,"1,827,467","17,910","27,167",47,"1,358,257","6,702","442,043",821,"156,709","2,330","25,109,681","2,153,200","11,661,562",Europe
Canada,"1,805,070","2,711","29,766",9,"1,746,170",889,"29,134",497,"47,236",779,"49,099,908","1,284,868","38,213,959",North America
Romania,"1,785,120","1,490","57,026",111,"1,699,083","3,800","29,011",948,"93,685","2,993","16,147,097","847,414","19,054,546",Europe
Chile,"1,770,620","2,036","38,465",26,"1,662,877","1,853","69,278",692,"91,504","1,988","25,879,136","1,337,412","19,350,159",South America
Japan,"1,727,701",141,"18,364",1,"1,708,505",160,832,28,"13,720",146,"28,101,312","223,161","125,924,001",Asia
Bangladesh,"1,577,246",176,"27,995",6,"1,542,048",162,"7,203","1,379","9,443",168,"10,962,474","65,632","167,028,441",Asia
Israel,"1,345,492",409,"8,204",1,"1,331,744",247,"5,544",111,"144,273",880,"31,188,024","3,344,202","9,326,000",Asia
Vietnam,"1,294,778","13,998","26,061",203,"1,007,566","1,107","261,151","6,788","13,133",264,"69,698,432","706,972","98,587,244",Asia
Pakistan,"1,286,453",431,"28,761",8,"1,245,344",189,"12,348",858,"5,667",127,"22,165,834","97,647","227,000,663",Asia
Serbia,"1,262,419","1,613","11,876",39,"1,206,586","3,728","43,957",164,"145,320","1,367","6,872,899","791,157","8,687,151",Europe
Sweden,"1,212,145",,"15,136",,"1,161,101",,"35,908",43,"118,965","1,486","13,708,481","1,345,411","10,189,069",Europe
Austria,"1,193,286","7,304","12,753",60,"1,063,484","13,433","117,049",648,"131,424","1,405","112,234,412","12,361,048","9,079,684",Europe
Portugal,"1,163,001","5,649","18,514",22,"1,085,654","3,233","58,833",130,"114,533","1,823","21,748,627","2,141,817","10,154,287",Europe
Hungary,"1,134,869",,"35,122",,"910,745",,"189,002",566,"117,904","3,649","8,559,975","889,316","9,625,351",Europe
Switzerland,"1,039,730",,"11,612",,"867,860",,"160,258",213,"118,896","1,328","12,597,593","1,440,569","8,744,872",Europe
Kazakhstan,"974,455",686,"12,754",20,"940,688","1,122","21,013",528,"51,027",668,"11,575,012","606,122","19,096,827",Asia
Jordan,"971,401","2,976","11,715",28,"899,555","1,827","60,131","1,159","93,878","1,132","12,351,487","1,193,665","10,347,534",Asia
Cuba,"963,002",110,"8,307",1,"954,030",148,665,13,"85,095",734,"11,160,862","986,225","11,316,753",North America
Greece,"962,695","5,143","18,516",89,"868,028","7,433","76,151",697,"93,010","1,789","37,943,822","3,665,927","10,350,402",Europe
Morocco,"950,501",127,"14,787",3,"932,835",98,"2,879",347,"25,324",394,"10,491,463","279,518","37,534,135",Africa
Georgia,"861,883","3,950","12,298",40,"801,864","2,014","47,721",,"216,649","3,091","11,768,907","2,958,319","3,978,242",Asia
Nepal,"822,392",220,"11,540",5,"804,108",392,"6,744",,"27,520",386,"4,654,685","155,762","29,883,259",Asia
UAE,"742,278",51,"2,148",,"737,255",69,"2,875",,"73,780",214,"102,306,097","10,168,862","10,060,722",Asia
Slovakia,"722,108","9,359","14,771",75,"587,717","9,081","119,620",628,"132,172","2,704","4,704,977","861,179","5,463,415",Europe
Tunisia,"718,278",219,"25,398",8,"691,522",112,"1,358",68,"59,882","2,117","3,194,270","266,302","11,994,909",Africa
Bulgaria,"702,454",985,"28,805",36,"573,112","2,871","100,537",677,"102,193","4,191","6,688,246","973,006","6,873,795",Europe
Lebanon,"677,147","1,382","8,765",10,"634,994",,"33,388",186,"99,847","1,292","4,795,578","707,122","6,781,829",Asia
Belarus,"662,056","1,852","5,147",17,"650,577","2,272","6,332",,"70,097",545,"10,501,698","1,111,892","9,444,889",Europe
Croatia,"628,241","4,465","11,150",54,"585,743","4,712","31,348",317,"154,392","2,740","3,501,268","860,445","4,069,138",Europe
Guatemala,"619,542",502,"15,980",8,"602,343",519,"1,219",5,"33,693",869,"3,147,862","171,195","18,387,588",North America
Azerbaijan,"594,994","1,406","7,947",18,"562,786","1,787","24,261",,"57,938",774,"5,591,270","544,455","10,269,472",Asia
Ireland,"589,094","5,622","5,707",,"454,362","3,035","129,025",114,"117,433","1,138","8,983,297","1,790,783","5,016,408",Europe
Costa Rica,"567,383",,"7,312",,"552,158",,"7,913",77,"109,949","1,417","2,715,029","526,124","5,160,438",North America
Sri Lanka,"566,936",740,"14,440",21,"542,010",474,"10,486",,"26,319",670,"5,661,108","262,802","21,541,305",Asia
Saudi Arabia,"549,877",29,"8,842",2,"539,011",21,"2,024",39,"15,452",248,"31,654,455","889,511","35,586,345",Asia
Bolivia,"542,089","1,220","19,210",5,"496,287",938,"26,592",220,"45,554","1,614","2,593,083","217,907","11,899,933",South America
Ecuador,"526,870",,"33,250",,"443,880",,"49,740",759,"29,230","1,845","2,013,368","111,700","18,024,776",South America
Myanmar,"524,122",374,"19,135",8,"499,800",536,"5,187",,"9,542",348,"5,665,767","103,145","54,929,940",Asia
Denmark,"506,085","4,325","2,939",12,"443,749","3,795","59,397",57,"86,937",505,"95,423,448","16,392,131","5,821,296",Europe
Panama,"478,831",288,"7,373",2,"468,661",245,"2,797",20,"108,541","1,671","4,265,449","966,885","4,411,539",North America
Lithuania,"478,492","2,053","6,828",17,"444,351","3,494","27,313",122,"179,340","2,559","6,234,270","2,336,624","2,668,067",Europe
S. Korea,"467,907","5,352","3,809",70,"405,543","2,124","58,555",752,"9,115",74,"15,804,065","307,879","51,332,130",Asia
Paraguay,"463,315",55,"16,477",1,"446,079",77,759,49,"63,840","2,270","1,958,869","269,913","7,257,410",South America
Venezuela,"434,133",473,"5,186",9,"421,495",508,"7,452",681,"15,329",183,"3,359,014","118,605","28,320,978",South America
Palestine,"431,588",190,"4,546",3,"423,777",228,"3,265",51,"81,892",863,"2,754,593","522,671","5,270,224",Asia
Slovenia,"428,948","1,911","5,290",18,"393,180","3,221","30,478",259,"206,290","2,544","1,960,627","942,906","2,079,346",Europe
Kuwait,"413,464",23,"2,465",,"410,701",17,298,3,"94,819",565,"5,409,875","1,240,637","4,360,563",Asia
