"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"265,160,308","705,204","5,258,074","7,923","238,937,526","448,359","20,964,708","86,587","34,018",674.6,,,,All
China,"98,993",96,"4,636",,"93,385",30,972,10,69,3,"160,000,000","111,163","1,439,323,776",Asia
USA,"49,878,049","147,434","808,116","1,352","39,463,245","73,599","9,606,688","13,714","149,443","2,421","759,601,375","2,275,890","333,760,103",North America
India,"34,624,360","8,603","470,530",415,"34,045,666","8,612","108,164","8,944","24,745",336,"644,668,082","460,717","1,399,272,504",Asia
Brazil,"22,129,409","10,627","615,454",229,"21,357,412","5,907","156,543","8,318","103,069","2,866","63,776,166","297,040","214,705,739",South America
UK,"10,378,256","50,120","145,424",143,"9,156,066","29,938","1,076,766",895,"151,745","2,126","366,108,215","5,353,035","68,392,645",Europe
Russia,"9,736,037","32,930","278,857","1,217","8,436,631","36,514","1,020,549","2,300","66,675","1,910","226,800,000","1,553,176","146,023,393",Europe
Turkey,"8,861,386","21,495","77,417",187,"8,392,971","20,193","390,998","1,405","103,487",904,"108,745,783","1,269,982","85,627,781",Asia
France,"7,823,388","49,858","119,457",127,"7,155,819","14,543","548,112","2,058","119,480","1,824","162,981,031","2,489,067","65,478,756",Europe
Iran,"6,129,199","3,603","130,066",78,"5,908,901","7,369","90,232","3,296","71,670","1,521","39,093,355","457,129","85,519,258",Asia
Germany,"6,097,477","70,681","103,308",399,"5,023,300","43,600","970,869","4,636","72,447","1,227","85,782,441","1,019,222","84,164,610",Europe
Argentina,"5,337,692","2,382","116,639",22,"5,198,099","2,003","22,954",657,"116,582","2,548","26,355,038","575,629","45,784,786",South America
Spain,"5,202,958","13,738","88,159",37,"4,927,391","1,413","187,408",814,"111,221","1,885","66,213,858","1,415,415","46,780,515",Europe
Italy,"5,077,440","17,025","134,077",74,"4,727,214","9,658","216,149",708,"84,153","2,222","121,173,417","2,008,328","60,335,462",Europe
Colombia,"5,076,378","2,299","128,685",42,"4,916,313","2,392","31,380",342,"98,278","2,491","28,258,816","547,089","51,653,038",South America
Indonesia,"4,257,243",245,"143,858",8,"4,105,680",328,"7,705",,"15,334",518,"55,342,143","199,337","277,630,880",Asia
Mexico,"3,894,364","3,146","294,715",287,"3,250,478","2,466","349,171","4,798","29,761","2,252","11,904,011","90,970","130,856,396",North America
Poland,"3,623,451","26,964","85,128",472,"3,091,259","25,041","447,064","1,968","95,890","2,253","24,764,134","655,349","37,787,697",Europe
Ukraine,"3,477,649","13,777","87,566",509,"3,018,620","22,893","371,463",177,"80,204","2,020","16,009,215","369,214","43,360,236",Europe
South Africa,"3,004,203","16,055","89,940",25,"2,852,898","1,993","61,365",546,"49,763","1,490","19,646,423","325,432","60,370,339",Africa
Philippines,"2,833,777",443,"48,987",235,"2,769,587",407,"15,203","1,023","25,381",439,"24,313,150","217,759","111,651,639",Asia
Netherlands,"2,706,263","21,529","19,586",62,"2,137,058","9,044","549,619",609,"157,444","1,139","19,205,114","1,117,307","17,188,747",Europe
Malaysia,"2,649,578","5,551","30,538",17,"2,556,554","5,301","62,486",499,"80,401",927,"38,161,832","1,158,007","32,954,740",Asia
Peru,"2,241,027","1,606","201,326",44,N/A,N/A,N/A,967,"66,650","5,988","20,463,224","608,592","33,623,860",South America
Czechia,"2,212,056","18,596","33,523",109,"1,894,921",500,"283,612","1,056","206,018","3,122","44,071,446","4,104,552","10,737,213",Europe
Thailand,"2,130,641","4,912","20,878",33,"2,037,000","5,844","72,763","1,369","30,416",298,"14,913,135","212,896","70,048,860",Asia
Iraq,"2,083,515",741,"23,867",8,"2,048,378","1,112","11,270",100,"50,202",575,"16,405,036","395,278","41,502,505",Asia
Belgium,"1,809,557","23,113","27,120",48,"1,351,555","5,627","430,882",793,"155,176","2,326","24,998,146","2,143,687","11,661,287",Europe
Canada,"1,802,359","3,487","29,757",20,"1,745,281","2,757","27,321",497,"47,167",779,"49,099,908","1,284,929","38,212,152",North America
Romania,"1,783,630","1,673","56,910",183,"1,695,283","3,927","31,437","1,031","93,603","2,987","16,108,574","845,362","19,055,244",Europe
Chile,"1,768,584","2,091","38,439",36,"1,661,024","1,253","69,121",692,"91,403","1,987","25,803,364","1,333,558","19,349,263",South America
Japan,"1,727,560",130,"18,363",1,"1,708,345",126,852,32,"13,719",146,"28,040,512","222,674","125,926,107",Asia
Bangladesh,"1,577,070",243,"27,989",3,"1,541,886",225,"7,195","1,382","9,442",168,"10,946,046","65,538","167,019,482",Asia
Israel,"1,345,083",415,"8,199",,"1,331,497",434,"5,387",112,"144,229",879,"31,188,024","3,344,202","9,326,000",Asia
Pakistan,"1,286,022",391,"28,753",8,"1,245,155","2,437","12,114",895,"5,666",127,"22,118,750","97,449","226,977,186",Asia
Vietnam,"1,280,780","13,670","25,858",200,"1,006,459","1,149","248,463","6,449","12,992",262,"69,433,777","704,322","98,582,463",Asia
Serbia,"1,260,806","1,801","11,837",45,"1,202,858","3,439","46,111",172,"145,131","1,363","6,860,373","789,698","8,687,342",Europe
Sweden,"1,212,145",,"15,136",,"1,161,101",828,"35,908",43,"118,969","1,486","13,708,481","1,345,456","10,188,725",Europe
Austria,"1,185,982","6,738","12,693",68,"1,050,051","13,498","123,238",643,"130,623","1,398","111,937,966","12,328,779","9,079,404",Europe
Portugal,"1,157,352","2,535","18,492",21,"1,082,421","3,713","56,439",129,"113,975","1,821","21,283,107","2,095,939","10,154,448",Europe
Hungary,"1,134,869","10,143","35,122",191,"910,745","8,745","189,002",566,"117,903","3,649","8,559,975","889,303","9,625,484",Europe
Switzerland,"1,039,730","4,838","11,612",9,"867,860","2,970","160,258",213,"118,901","1,328","12,597,593","1,440,626","8,744,527",Europe
Kazakhstan,"973,769",724,"12,734",18,"939,566","1,231","21,469",528,"50,994",667,"11,575,012","606,161","19,095,600",Asia
Jordan,"968,425","4,770","11,687",26,"897,728","3,651","59,010","1,144","93,595","1,130","12,320,807","1,190,763","10,346,981",Asia
Cuba,"962,892",114,"8,306",1,"953,882",160,704,22,"85,085",734,"11,160,862","986,222","11,316,790",North America
Greece,"957,552","6,201","18,427",102,"860,595","4,017","78,530",694,"92,511","1,780","37,549,349","3,627,718","10,350,679",Europe
Morocco,"950,374",151,"14,784",2,"932,737",172,"2,853",347,"25,322",394,"10,477,982","279,177","37,531,745",Africa
Georgia,"857,933","4,100","12,258",67,"799,850","3,397","45,825",,"215,654","3,081","11,714,425","2,944,593","3,978,283",Asia
Nepal,"822,172",223,"11,535",,"803,716",347,"6,921",,"27,515",386,"4,649,390","155,600","29,880,391",Asia
UAE,"742,163",54,"2,148",,"737,103",79,"2,912",,"73,773",214,"101,872,653","10,126,437","10,060,069",Asia
Tunisia,"718,059",151,"25,390",9,"691,410",111,"1,259",68,"59,867","2,117","3,188,390","265,827","11,994,233",Africa
Slovakia,"712,749","15,278","14,696",90,"578,636","7,315","119,417",630,"130,459","2,690","4,678,940","856,415","5,463,400",Europe
Bulgaria,"701,469","2,289","28,769",113,"570,241","3,323","102,459",684,"102,046","4,185","6,668,930","970,156","6,874,080",Europe
Lebanon,"675,765","1,765","8,755",10,"634,994",692,"32,016",186,"99,641","1,291","4,795,578","707,104","6,781,995",Asia
Belarus,"660,204","1,876","5,130",16,"648,305","2,201","6,769",,"69,901",543,"10,478,624","1,109,447","9,444,906",Europe
Croatia,"623,776","4,521","11,096",53,"581,031","5,422","31,649",313,"153,289","2,727","3,489,551","857,536","4,069,276",Europe
Guatemala,"619,040",313,"15,972",5,"601,824",353,"1,244",5,"33,670",869,"3,141,170","170,848","18,385,774",North America
Azerbaijan,"593,588","1,703","7,929",24,"560,999","2,180","24,660",,"57,804",772,"5,578,401","543,229","10,268,973",Asia
Ireland,"583,472","5,408","5,707",,"451,327","3,186","126,438",110,"116,320","1,138","8,983,297","1,790,890","5,016,107",Europe
Costa Rica,"567,383",120,"7,312",3,"552,158","1,629","7,913",77,"109,954","1,417","2,715,029","526,150","5,160,184",North America
Sri Lanka,"566,196",725,"14,419",20,"541,536",412,"10,241",,"26,285",669,"5,661,108","262,808","21,540,815",Asia
Saudi Arabia,"549,848",38,"8,840",1,"538,990",24,"2,018",41,"15,452",248,"31,610,540","888,351","35,583,380",Asia
Bolivia,"540,869","1,107","19,205",9,"495,349",638,"26,315",220,"45,455","1,614","2,593,083","217,923","11,899,063",South America
Ecuador,"526,870",,"33,250",,"443,880",,"49,740",759,"29,233","1,845","2,013,368","111,709","18,023,312",South America
Myanmar,"523,748",402,"19,127",7,"499,264",516,"5,357",,"9,535",348,"5,646,267","102,794","54,927,950",Asia
Denmark,"501,760","4,559","2,927",15,N/A,N/A,N/A,57,"86,196",503,"94,987,887","16,317,623","5,821,184",Europe
Panama,"478,543",268,"7,371",1,"468,416",215,"2,756",20,"108,484","1,671","4,258,361","965,359","4,411,167",North America
Lithuania,"476,439","2,125","6,811",20,"440,857","1,449","28,771",131,"178,557","2,553","6,219,424","2,330,880","2,668,273",Europe
Paraguay,"463,260",61,"16,476",1,"446,002",74,782,47,"63,837","2,270","1,956,252","269,570","7,256,932",South America
S. Korea,"462,555","4,943","3,739",34,"403,419","2,834","55,397",736,"9,011",73,"15,804,065","307,880","51,331,890",Asia
Venezuela,"433,660",452,"5,177",7,"420,987",551,"7,496",681,"15,312",183,"3,359,014","118,603","28,321,416",South America
Palestine,"431,398",287,"4,543",1,"423,549",245,"3,306",48,"81,866",862,"2,752,068","522,256","5,269,575",Asia
Slovenia,"427,037","1,739","5,272",17,"389,959","3,501","31,806",270,"205,371","2,535","1,955,101","940,249","2,079,344",Europe
Kuwait,"413,441",22,"2,465",,"410,684",21,292,3,"94,821",565,"5,390,437","1,236,277","4,360,218",Asia
Dominican Republic,"407,918",289,"4,212",2,"401,475",639,"2,231",165,"37,075",383,"2,473,093","224,778","11,002,396",North America
Uruguay,"400,542",267,"6,132",,"392,090",210,"2,320",16,"114,741","1,757","4,138,710","1,185,593","3,490,836",South America
Mongolia,"382,898",375,"2,011",3,"313,256",,"67,631",192,"114,188",600,"4,030,048","1,201,846","3,353,214",Asia
Honduras,"378,113",67,"10,413",1,"121,722",527,"245,978",59,"37,333","1,028","1,121,382","110,719","10,128,180",North America
Libya,"374,280",541,"5,480",4,"352,416","2,177","16,384",,"53,439",782,"1,921,686","274,372","7,003,936",Africa
Ethiopia,"371,946",143,"6,787",3,"349,464",158,"15,695",217,"3,126",57,"3,888,935","32,680","119,000,865",Africa
Moldova,"365,713",548,"9,192",30,"349,581",636,"6,940",165,"90,959","2,286","2,210,968","549,905","4,020,637",Europe
Egypt,"361,368",933,"20,643",49,"299,434",569,"41,291",90,"3,439",196,"3,693,367","35,151","105,072,780",Africa
Armenia,"339,977",399,"7,644",13,"319,476",995,"12,857",,"114,427","2,573","2,389,456","804,229","2,971,113",Asia
Oman,"304,581",,"4,113",,"300,021",,447,2,"57,569",777,"25,000,000","4,725,236","5,290,741",Asia
Norway,"279,954","4,191","1,093",,"88,952",,"189,909",68,"51,073",199,"8,665,209","1,580,823","5,481,453",Europe
Bahrain,"277,772",20,"1,394",,"276,058",19,320,2,"155,586",781,"7,458,378","4,177,591","1,785,330",Asia
Bosnia and Herzegovina,"277,228",680,"12,687",29,"192,218",,"72,323",,"85,254","3,902","1,407,341","432,787","3,251,807",Europe
Singapore,"267,916",766,744,9,"256,517","1,393","10,655",50,"45,289",126,"21,098,774","3,566,575","5,915,696",Asia
Latvia,"256,125",723,"4,248",16,"240,660","1,195","11,217",137,"137,958","2,288","5,367,826","2,891,297","1,856,546",Europe
Kenya,"255,355",95,"5,335",,"248,398",22,"1,622",8,"4,605",96,"2,848,757","51,374","55,451,083",Africa
Qatar,"243,912",154,611,,"241,198",137,"2,103",11,"86,869",218,"3,011,489","1,072,542","2,807,805",Asia
Estonia,"224,195",507,"1,810",2,"206,452","1,156","15,933",34,"168,847","1,363","2,351,838","1,771,225","1,327,803",Europe
North Macedonia,"216,670",342,"7,616",7,"201,017",348,"8,037",,"104,006","3,656","1,478,883","709,892","2,083,252",Europe
Australia,"214,885","1,525","2,032",11,"196,856","1,170","15,997",71,"8,290",78,"48,415,662","1,867,889","25,919,986",Australia/Oceania
Nigeria,"214,513",196,"2,980",2,"207,403",46,"4,130",11,"1,005",14,"3,580,510","16,780","213,383,142",Africa
Algeria,"211,112",191,"6,089",6,"144,909",156,"60,114",15,"4,694",135,"230,861","5,133","44,974,575",Africa
Zambia,"210,262",42,"3,667",,"206,443",18,152,6,"11,001",192,"2,737,800","143,238","19,113,612",Africa
