"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"266,112,941","422,421","5,270,544","4,008","239,693,617","322,875","21,148,780","86,794","34,140",676.2,,,,All
China,"99,142",59,"4,636",,"93,470",36,"1,036",12,69,3,"160,000,000","111,163","1,439,323,776",Asia
USA,"49,969,856","35,065","808,763",155,"39,523,573","25,462","9,637,520","13,781","149,713","2,423","760,636,842","2,278,920","333,770,690",North America
India,"34,641,406","8,151","473,326",,"34,060,774","6,918","107,306","8,944","24,755",338,"647,252,850","462,539","1,399,346,585",Asia
Brazil,"22,143,091","4,844","615,674",68,"21,362,553","3,201","164,864","8,318","103,128","2,867","63,776,166","297,028","214,713,983",South America
UK,"10,464,389","43,992","145,605",54,"9,220,626","32,495","1,098,158",895,"153,000","2,129","366,108,215","5,352,883","68,394,590",Europe
Russia,"9,801,613","32,602","281,278","1,206","8,502,406","30,593","1,017,929","2,300","67,123","1,926","228,000,000","1,561,390","146,023,734",Europe
Turkey,"8,901,117","19,357","77,830",185,"8,436,712","24,278","386,575","1,405","103,945",909,"109,449,755","1,278,130","85,632,738",Asia
France,"7,917,264","42,252","119,535",29,"7,171,380","3,192","626,349","2,066","120,912","1,826","167,925,512","2,564,549","65,479,543",Europe
Germany,"6,179,839","35,983","103,604",74,"5,082,500","24,400","993,735","4,636","73,424","1,231","85,782,441","1,019,205","84,166,070",Europe
Iran,"6,134,465","3,109","130,200",76,"5,923,316","7,117","80,949","3,249","71,727","1,522","39,093,355","457,098","85,525,133",Asia
Argentina,"5,340,676","1,294","116,646",3,"5,201,840","1,699","22,190",656,"116,642","2,548","26,410,553","576,813","45,787,050",South America
Spain,"5,202,958",,"88,159",,"4,927,391",,"187,408",814,"111,220","1,885","66,213,858","1,415,412","46,780,614",Europe
Italy,"5,109,082","15,021","134,195",43,"4,742,887","6,685","232,000",736,"84,679","2,224","122,335,117","2,027,599","60,334,978",Europe
Colombia,"5,081,064","2,077","128,780",47,"4,921,311","2,692","30,973",342,"98,363","2,493","28,330,663","548,449","51,656,000",South America
Indonesia,"4,257,685",196,"143,867",4,"4,106,292",298,"7,526",,"15,335",518,"55,884,039","201,278","277,646,675",Asia
