"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,443752436,1651204,6009417,8084,376768976,1755928,60974043,71862,56929.0,771.0,44427449484,2728443861,42067826716,All,39.3,0.2,1449.4
China,110258,294,4636,0,102318,84,3304,18,77.0,3.0,160000000,111163,1439323776,Asia,0.2,0.0,2.3
USA,80896406,46453,983509,1477,54430881,207970,25482016,6693,242026.0,2942.0,955947969,2860004,334247090,North America,139.0,4.4,76237.1
India,42957477,5921,514908,288,42378721,11651,63848,8944,30625.0,367.0,770973356,549643,1402680212,Asia,4.2,0.2,45.5
Brazil,28974315,68101,651343,697,26909481,99195,1413491,8318,134711.0,3028.0,63776166,296516,215084963,South America,316.6,3.2,6571.8
France,22958320,57789,139123,181,21483323,118431,1335874,2484,350429.0,2124.0,246629975,3764483,65514958,Europe,882.1,2.8,20390.4
UK,19119181,44740,162008,110,17537214,0,1419959,264,279185.0,2366.0,485037295,7082687,68482101,Europe,653.3,1.6,20734.7
Russia,16775024,89174,354787,776,14263191,160507,2157046,2300,114867.0,2429.0,273400000,1872102,146039069,Europe,610.6,5.3,14770.3
Germany,15579480,203972,124517,252,11898500,201900,3556463,2494,184960.0,1478.0,104701826,1243021,84231776,Europe,2421.6,3.0,42222.3
Turkey,14293828,38283,95205,180,13636181,63311,562442,1011,166487.0,1109.0,145385769,1693372,85855776,Asia,445.9,2.1,6551.0
Italy,12950260,39496,155609,210,11769463,55818,1025188,625,214717.0,2580.0,189102673,3135345,60313202,Europe,654.8,3.5,16997.7
Spain,11100428,22400,100431,192,9861014,60505,1138983,851,237264.0,2147.0,471036328,10068095,46785052,Europe,478.8,4.1,24345.0
Argentina,8929898,8362,126624,93,8720016,14838,83258,1035,194598.0,2759.0,34433802,750373,45888932,South America,182.2,2.0,1814.3
Iran,7080217,6470,137593,154,6709131,12637,233493,4056,82530.0,1604.0,47647542,555401,85789486,Asia,75.4,1.8,2721.7
Netherlands,6573195,68309,21599,10,4729179,76057,1822417,147,382201.0,1256.0,21107399,1227299,17198250,Europe,3971.9,0.6,105965.3
Colombia,6069425,1351,138984,45,5897583,1703,32858,342,117195.0,2684.0,33310231,643188,51789284,South America,26.1,0.9,634.5
Poland,5721304,12471,112336,206,5110017,10502,498951,656,151448.0,2974.0,33955578,898835,37777317,Europe,330.1,5.5,13207.7
Indonesia,5693702,26347,149596,328,5026853,40462,517253,2911,20455.0,537.0,86417138,310454,278357473,Asia,94.7,1.2,1858.2
Mexico,5544644,10558,319296,461,4821403,11604,403945,4798,42262.0,2434.0,15171873,115642,131196689,North America,80.5,3.5,3078.9
Japan,5210263,70958,24349,257,4499479,79653,686435,1419,41407.0,194.0,39532650,314177,125829212,Asia,563.9,2.0,5455.3
