"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,266772859,484566,5278377,6061,240272614,503094,21221868,87019,34224.0,677.2,39355928559,2538304479,47204231124,All,10.3,0.1,449.6
China,99203,61,4636,0,93507,37,1060,12,69.0,3.0,160000000,111163,1439323776,Asia,0.0,0.0,0.7
USA,50163223,91965,810464,725,39675200,122733,9677559,13997,150288.0,2428.0,764798583,2291317,333781277,North America,275.5,2.2,28993.7
India,34648383,6822,473757,220,34069608,8834,105018,8944,24759.0,339.0,648259067,463234,1399420665,Asia,4.9,0.2,75.0
Brazil,22147476,4385,615789,115,21370388,7835,161299,8318,103145.0,2868.0,63776166,297017,214722227,South America,20.4,0.5,751.2
UK,10514650,51262,145646,41,9259179,38553,1109825,900,153731.0,2129.0,369333562,5399887,68396535,Europe,749.5,0.6,16226.3
Russia,9833749,32136,282462,1184,8530476,28070,1020811,2300,67343.0,1934.0,228500000,1564810,146024075,Europe,220.1,8.1,6990.7
Turkey,8921150,20033,78017,187,8462323,25611,380810,1128,104173.0,911.0,109804024,1282193,85637694,Asia,233.9,2.2,4446.8
France,7928572,11308,119727,192,7191129,19749,617716,2066,121083.0,1828.0,167925512,2564518,65480330,Europe,172.7,2.9,9433.6
Germany,6219169,39330,103913,309,5120100,37600,995156,4636,73890.0,1235.0,85782441,1019187,84167530,Europe,467.3,3.7,11823.5
Iran,6137821,3356,130277,77,5930502,7186,77042,3232,71761.0,1523.0,39415479,460833,85531007,Asia,39.2,0.9,900.7
Argentina,5343153,2477,116680,34,5203809,1969,22664,671,116690.0,2548.0,26452899,577709,45789314,South America,54.1,0.7,495.0
Spain,5235814,10952,88219,20,4934327,3271,213268,814,111922.0,1886.0,66213858,1415409,46780712,Europe,234.1,0.4,4558.9
