"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Switzerland,"1,106,573","+5,213","11,783 ",+11,"887,573","+3,703","207,217",273,"126,525","1,347","13,030,943","1,489,947","8,745,908 ",Europe
Jordan,"1,003,428","+4,936","11,917 ",+38,"924,702","+4,042","66,809","1,218","96,957","1,151","12,619,199","1,219,341","10,349,193 ",Asia
Greece,"994,901","+5,087","19,085 ",+103,"905,524","+3,742","70,292",702,"96,130","1,844","40,028,300","3,867,629","10,349,571 ",Europe
Kazakhstan,"978,362",+648,"12,828 ",+14,"946,451",+922,"19,083",528,"51,222",672,"11,575,012","606,005","19,100,508 ",Asia
Cuba,"963,493",+65,"8,311 ",,"954,741",+82,441,15,"85,139",734,"11,289,974","997,644","11,316,640 ",North America
Morocco,"951,267",+175,"14,795 ",+1,"934,373",+364,"2,099",347,"25,339",394,"10,547,914","280,968","37,541,305 ",Africa
Georgia,"882,822","+3,454","12,631 ",+49,"825,442","+3,334","44,749",,"221,920","3,175","12,040,027","3,026,564","3,978,117 ",Asia
Nepal,"823,786",+232,"11,552 ",+3,"806,237",+337,"5,997",114,"27,559",386,"4,702,838","157,328","29,891,861 ",Asia
Slovakia,"764,112","+6,620","15,236 ",+57,"636,055","+9,247","112,821",605,"139,859","2,789","4,825,139","883,166","5,463,458 ",Europe
UAE,"742,641",+74,"2,151 ",+2,"737,749",+93,"2,741",,"73,802",214,"104,174,110","10,352,520","10,062,681 ",Asia
Tunisia,"719,247",+241,"25,419 ",+3,"692,463",+179,"1,365",50,"59,953","2,119","3,220,850","268,473","11,996,935 ",Africa
Bulgaria,"713,083","+1,719","29,459 ",+77,"586,208","+2,329","97,416",628,"103,752","4,286","6,866,448","999,055","6,872,943 ",Europe
Lebanon,"686,725","+1,563","8,824 ",+10,"638,964",,"38,937",186,"101,267","1,301","4,795,578","707,174","6,781,330 ",Asia
Belarus,"671,432","+1,800","5,245 ",+18,"661,296","+2,072","4,891",,"71,090",555,"10,626,257","1,125,086","9,444,838 ",Europe
