"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,269967841,499385,5317314,5419,242700833,433166,21949694,88818,34634.0,682.2,39869655840,2572098876,47209145532,All,10.6,0.1,464.9
China,99604,87,4636,0,93696,37,1272,28,69.0,3.0,160000000,111163,1439323776,Asia,0.1,0.0,0.9
USA,50762671,57414,817789,446,39986483,34790,9958399,14935,152074.0,2450.0,773300851,2316642,333802450,North America,172.0,1.3,29833.2
India,34684396,1660,475128,0,34114331,9265,94937,8944,24782.0,339.0,654627300,467735,1399568826,Asia,1.2,0.0,67.8
Brazil,22188179,3355,616859,126,21407699,0,163621,8318,103326.0,2873.0,63776166,296994,214738715,South America,15.6,0.6,762.0
UK,10771444,54073,146387,132,9453429,39312,1171628,900,157476.0,2140.0,374468898,5474658,68400424,Europe,790.5,1.9,17129.0
Russia,9986967,30288,288351,1171,8709964,36446,988652,2300,68392.0,1975.0,231000000,1581924,146024756,Europe,207.4,8.0,6770.4
Turkey,9022223,19255,78969,191,8592094,23180,351160,1128,105341.0,922.0,111562570,1302577,85647607,Asia,224.8,2.2,4100.1
France,8214844,53720,120383,65,7294653,42277,799808,2461,125452.0,1838.0,172371975,2632360,65481904,Europe,820.4,1.0,12214.2
Germany,6501279,37542,106208,277,5368300,39000,1026771,4636,77239.0,1262.0,87852398,1043744,84170450,Europe,446.0,3.3,12198.7
Iran,6152524,1681,130661,58,5963373,6356,58490,3126,71923.0,1527.0,39951481,467035,85542756,Asia,19.7,0.7,683.8
Argentina,5356885,2445,116760,12,5213678,2414,26447,681,116978.0,2550.0,26663231,582245,45793842,South America,53.4,0.3,577.5
Spain,5290190,0,88381,0,4943735,0,258074,1056,113084.0,1889.0,66213858,1415403,46780909,Europe,0.0,0.0,5516.7
Italy,5206305,21042,134765,96,4797658,10205,273882,818,86292.0,2234.0,125490703,2079950,60333526,Europe,348.8,1.6,4539.5
Colombia,5091508,1813,129056,45,4932304,1775,30148,342,98549.0,2498.0,28587711,553330,51664885,South America,35.1,0.9,583.5
Indonesia,4258980,228,143929,6,4109865,190,5186,0,15337.0,518.0,57921612,208581,277694062,Asia,0.8,0.0,18.7
Mexico,3914706,2992,296385,199,3269036,2071,349285,4798,29909.0,2264.0,12046280,92036,130885987,North America,22.9,1.5,2668.6
Poland,3808798,23764,88414,486,3263563,26546,456821,2104,100797.0,2340.0,25430252,672993,37786794,Europe,628.9,12.9,12089.4
Ukraine,3553817,10133,90789,446,3184287,25861,278741,177,81971.0,2094.0,16274905,375391,43354523,Europe,233.7,10.3,6429.3
South Africa,3129622,17153,90116,36,2880472,1617,159034,546,51826.0,1492.0,20176391,334120,60386682,Africa,284.1,0.6,2633.6
Netherlands,2863838,17712,20074,70,2233027,16202,610737,642,166603.0,1168.0,19205114,1117254,17189574,Europe,1030.4,4.1,35529.5
Philippines,2836360,356,50096,135,2774891,878,11373,899,25396.0,449.0,24522686,219573,111683522,Asia,3.2,1.2,101.8
Malaysia,2688149,4626,30862,31,2596509,4690,60778,396,81549.0,936.0,39173380,1188376,32963803,Asia,140.3,0.9,1843.8
Czechia,2325181,12386,34377,62,2008647,533,282157,1067,216545.0,3202.0,45400146,4228128,10737646,Europe,1153.5,5.8,26277.4
Peru,2251027,0,201650,0,0,0,0,993,66927.0,5995.0,20753581,617044,33633902,South America,0.0,0.0,0.0
Thailand,2164859,4079,21149,39,2090253,7302,53457,1369,30903.0,302.0,14913135,212885,70052677,Asia,58.2,0.6,763.1
Iraq,2087497,250,23965,6,2054696,615,8836,86,50274.0,577.0,16539839,398336,41522281,Asia,6.0,0.1,212.8
Belgium,1929772,15245,27504,41,1421499,10085,480769,827,165470.0,2358.0,25785017,2210955,11662387,Europe,1307.2,3.5,41223.9
Canada,1831733,3978,29910,10,1765882,1015,35941,469,47927.0,783.0,49829014,1303763,38219377,North America,104.1,0.3,940.4
Romania,1792433,931,57636,73,1714239,2297,20558,712,94079.0,3025.0,16396701,860608,19052454,Europe,48.9,3.8,1079.0
Chile,1781227,1362,38646,8,1679447,2695,63134,687,92040.0,1997.0,26276042,1357735,19352846,South America,70.4,0.4,3262.3
Japan,1728548,138,18372,1,1709270,144,906,25,13728.0,146.0,28431738,225796,125917681,Asia,1.1,0.0,7.2
Bangladesh,1578996,177,28022,5,1543862,122,7112,1369,9452.0,168.0,11098586,66437,167055318,Asia,1.1,0.0,42.6
Vietnam,1398413,16141,27611,209,1053425,1084,317377,7558,14182.0,280.0,71152452,721616,98601587,Asia,163.7,2.1,3218.8
Israel,1349741,356,8210,0,1335728,492,5803,102,144729.0,880.0,35924740,3852106,9326000,Asia,38.2,0.0,622.2
Pakistan,1288761,395,28823,11,1250427,358,9511,759,5676.0,127.0,22479184,98996,227071093,Asia,1.7,0.0,41.9
Serbia,1273103,1309,12148,35,1226748,2995,34207,179,146560.0,1398.0,6968519,802217,8686577,Europe,150.7,4.0,3937.9
Sweden,1229217,0,15158,0,1166352,0,47707,48,120629.0,1488.0,13934770,1367481,10190099,Europe,0.0,0.0,4681.7
Austria,1225555,4460,13143,67,1138722,9284,73690,573,134965.0,1447.0,114668040,12627909,9080525,Europe,491.2,7.4,8115.2
Portugal,1190409,5373,18645,19,1106116,4205,65648,142,117238.0,1836.0,22443244,2210329,10153801,Europe,529.2,1.9,6465.4
Hungary,1182922,0,36429,0,968897,0,177596,573,122902.0,3785.0,8768881,911057,9624951,Europe,0.0,0.0,18451.6
