"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,266112941,422421,5270544,4008,239693617,322875,21148780,86794,34140.0,676.2,39229111791,2530504926,47201773968,All,8.9,0.1,448.1
China,99142,59,4636,0,93470,36,1036,12,69.0,3.0,160000000,111163,1439323776,Asia,0.0,0.0,0.7
USA,49969856,35065,808763,155,39523573,25462,9637520,13781,149713.0,2423.0,760636842,2278920,333770690,North America,105.1,0.5,28874.7
India,34641406,8151,473326,0,34060774,6918,107306,8944,24755.0,338.0,647252850,462539,1399346585,Asia,5.8,0.0,76.7
Brazil,22143091,4844,615674,68,21362553,3201,164864,8318,103128.0,2867.0,63776166,297028,214713983,South America,22.6,0.3,767.8
UK,10464389,43992,145605,54,9220626,32495,1098158,895,153000.0,2129.0,366108215,5352883,68394590,Europe,643.2,0.8,16056.2
Russia,9801613,32602,281278,1206,8502406,30593,1017929,2300,67123.0,1926.0,228000000,1561390,146023734,Europe,223.3,8.3,6971.0
Turkey,8901117,19357,77830,185,8436712,24278,386575,1405,103945.0,909.0,109449755,1278130,85632738,Asia,226.0,2.2,4514.3
France,7917264,42252,119535,29,7171380,3192,626349,2066,120912.0,1826.0,167925512,2564549,65479543,Europe,645.3,0.4,9565.6
Germany,6179839,35983,103604,74,5082500,24400,993735,4636,73424.0,1231.0,85782441,1019205,84166070,Europe,427.5,0.9,11806.8
Iran,6134465,3109,130200,76,5923316,7117,80949,3249,71727.0,1522.0,39093355,457098,85525133,Asia,36.4,0.9,946.5
Argentina,5340676,1294,116646,3,5201840,1699,22190,656,116642.0,2548.0,26410553,576813,45787050,South America,28.3,0.1,484.6
Spain,5202958,0,88159,0,4927391,0,187408,814,111220.0,1885.0,66213858,1415412,46780614,Europe,0.0,0.0,4006.1
Italy,5109082,15021,134195,43,4742887,6685,232000,736,84679.0,2224.0,122335117,2027599,60334978,Europe,249.0,0.7,3845.2
