"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"268,704,499","+602,671","5,302,121","+7,049","241,719,293","+429,328","21,683,085","88,961","34,472",680.2,,,,All
China,"99,454",+83,"4,636 ",,"93,628",+26,"1,190",24,69,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"50,535,593","+110,696","815,269 ","+1,088","39,879,448","+63,582","9,840,876","14,647","151,399","2,442","769,966,461","2,306,726","333,791,863 ",North America
India,"34,674,408","+8,167","474,390 ",+279,"34,097,388","+8,251","102,630","8,944","24,776",339,"651,950,127","465,847","1,399,494,746 ",Asia
Brazil,"22,177,059","+9,278","616,504 ",+206,"21,407,699","+8,383","152,856","8,318","103,279","2,871","63,776,166","297,006","214,730,471 ",South America
UK,"10,660,981","+50,867","146,135 ",+148,"9,378,165","+37,775","1,136,681",890,"155,866","2,137","373,037,852","5,453,891","68,398,479 ",Europe
Russia,"9,925,806","+30,209","286,004 ","+1,181","8,637,861","+35,794","1,001,941","2,300","67,974","1,959","229,800,000","1,573,709","146,024,415 ",Europe
Turkey,"8,984,407","+19,696","78,602 ",+195,"8,543,785","+27,263","362,020","1,128","104,906",918,"110,866,117","1,294,520","85,642,651 ",Asia
France,"8,105,785","+56,854","120,168 ",+136,"7,252,512","+21,087","733,105","2,461","123,788","1,835","170,480,237","2,603,502","65,481,117 ",Europe
Germany,"6,355,888","+16,295","105,010 ",+78,"5,225,700",,"1,025,178","4,636","75,513","1,248","85,782,441","1,019,169","84,168,990 ",Europe
Iran,"6,147,872","+3,228","130,524 ",+78,"5,950,425","+6,958","66,923","3,169","71,874","1,526","39,739,512","464,589","85,536,882 ",Asia
Argentina,"5,350,867","+2,744","116,719 ",+11,"5,209,333","+2,422","24,815",707,"116,853","2,549","26,575,189","580,351","45,791,578 ",South America
Spain,"5,273,178","+13,957","88,321 ",+50,"4,941,596","+2,089","243,261","1,041","112,721","1,888","66,213,858","1,415,406","46,780,811 ",Europe
Italy,"5,164,780","+12,527","134,551 ",+79,"4,775,676","+7,098","254,553",811,"85,603","2,230","124,209,339","2,058,695","60,334,010 ",Europe
Colombia,"5,088,008","+1,627","128,969 ",+40,"4,928,885","+1,781","30,154",342,"98,487","2,496","28,506,132","551,782","51,661,923 ",South America
Indonesia,"4,258,560",+220,"143,918 ",+9,"4,109,364",+296,"5,278",,"15,336",518,"57,287,944","206,311","277,678,266 ",Asia
Mexico,"3,908,534","+3,215","295,893 ",+292,"3,264,585","+2,163","348,056","4,798","29,864","2,261","12,000,517","91,692","130,878,589 ",North America
Poland,"3,760,048","+27,458","87,357 ",+562,"3,211,558","+16,827","461,133","2,053","99,506","2,312","25,322,586","670,140","37,787,020 ",Europe
Ukraine,"3,532,357","+12,376","89,901 ",+465,"3,133,970","+24,547","308,486",177,"81,473","2,074","16,199,355","373,636","43,355,952 ",Europe
South Africa,"3,093,452","+22,388","90,060 ",+22,"2,870,329","+2,363","133,063",546,"51,231","1,491","19,988,045","331,023","60,382,597 ",Africa
Philippines,"2,835,996",+562,"49,936 ",+176,"2,773,891",+882,"12,169",899,"25,395",447,"24,522,686","219,589","111,675,551 ",Asia
Netherlands,"2,828,655","+19,763","19,919 ",+77,"2,204,254","+11,210","604,482",645,"164,558","1,159","19,205,114","1,117,267","17,189,367 ",Europe
Malaysia,"2,678,465","+5,446","30,787 ",+41,"2,586,822","+5,427","60,856",419,"81,260",934,"38,880,624","1,179,576","32,961,537 ",Asia
Czechia,"2,298,441","+16,179","34,129 ",+47,"1,972,936",+493,"291,376","1,072","214,057","3,178","45,172,922","4,207,009","10,737,538 ",Europe
Peru,"2,248,447",,"201,490 ",,N/A,N/A,N/A,987,"66,856","5,991","20,674,445","614,737","33,631,391 ",South America
Thailand,"2,156,587","+4,203","21,082 ",+49,"2,075,088","+7,939","60,417","1,369","30,786",301,"14,913,135","212,887","70,051,723 ",Asia
Iraq,"2,086,702",+510,"23,943 ",+12,"2,053,418",+762,"9,341",94,"50,261",577,"16,507,647","397,609","41,517,337 ",Asia
Belgium,"1,898,498","+18,714","27,416 ",+56,"1,403,052","+7,693","468,030",815,"162,792","2,351","25,571,605","2,192,708","11,662,112 ",Europe
Canada,"1,823,010","+4,268","29,876 ",+24,"1,761,839","+2,859","31,295",469,"47,701",782,"49,711,113","1,300,740","38,217,571 ",North America
