"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"269,967,841","+499,385","5,317,314","+5,419","242,700,833","+433,166","21,949,694","88,818","34,634",682.2,,,,All
China,"99,604",+87,"4,636 ",,"93,696",+37,"1,272",28,69,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"50,762,671","+57,414","817,789 ",+446,"39,986,483","+34,790","9,958,399","14,935","152,074","2,450","773,300,851","2,316,642","333,802,450 ",North America
India,"34,684,396","+1,660","475,128 ",,"34,114,331","+9,265","94,937","8,944","24,782",339,"654,627,300","467,735","1,399,568,826 ",Asia
Brazil,"22,188,179","+3,355","616,859 ",+126,"21,407,699",,"163,621","8,318","103,326","2,873","63,776,166","296,994","214,738,715 ",South America
UK,"10,771,444","+54,073","146,387 ",+132,"9,453,429","+39,312","1,171,628",900,"157,476","2,140","374,468,898","5,474,658","68,400,424 ",Europe
Russia,"9,986,967","+30,288","288,351 ","+1,171","8,709,964","+36,446","988,652","2,300","68,392","1,975","231,000,000","1,581,924","146,024,756 ",Europe
Turkey,"9,022,223","+19,255","78,969 ",+191,"8,592,094","+23,180","351,160","1,128","105,341",922,"111,562,570","1,302,577","85,647,607 ",Asia
France,"8,214,844","+53,720","120,383 ",+65,"7,294,653","+42,277","799,808","2,461","125,452","1,838","172,371,975","2,632,360","65,481,904 ",Europe
Germany,"6,501,279","+37,542","106,208  ",+277,"5,368,300","+39,000","1,026,771","4,636","77,239","1,262","87,852,398","1,043,744","84,170,450 ",Europe
Iran,"6,152,524","+1,681","130,661 ",+58,"5,963,373","+6,356","58,490","3,126","71,923","1,527","39,951,481","467,035","85,542,756 ",Asia
Argentina,"5,356,885","+2,445","116,760 ",+12,"5,213,678","+2,414","26,447",681,"116,978","2,550","26,663,231","582,245","45,793,842 ",South America
Spain,"5,290,190",,"88,381 ",,"4,943,735",,"258,074","1,056","113,084","1,889","66,213,858","1,415,403","46,780,909 ",Europe
Italy,"5,206,305","+21,042","134,765 ",+96,"4,797,658","+10,205","273,882",818,"86,292","2,234","125,490,703","2,079,950","60,333,526 ",Europe
Colombia,"5,091,508","+1,813","129,056 ",+45,"4,932,304","+1,775","30,148",342,"98,549","2,498","28,587,711","553,330","51,664,885 ",South America
Indonesia,"4,258,980",+228,"143,929 ",+6,"4,109,865",+190,"5,186",,"15,337",518,"57,921,612","208,581","277,694,062 ",Asia
Mexico,"3,914,706","+2,992","296,385 ",+199,"3,269,036","+2,071","349,285","4,798","29,909","2,264","12,046,280","92,036","130,885,987 ",North America
Poland,"3,808,798","+23,764","88,414 ",+486,"3,263,563","+26,546","456,821","2,104","100,797","2,340","25,430,252","672,993","37,786,794 ",Europe
Ukraine,"3,553,817","+10,133","90,789 ",+446,"3,184,287","+25,861","278,741",177,"81,971","2,094","16,274,905","375,391","43,354,523 ",Europe
South Africa,"3,129,622","+17,153","90,116 ",+36,"2,880,472","+1,617","159,034",546,"51,826","1,492","20,176,391","334,120","60,386,682 ",Africa
Netherlands,"2,863,838","+17,712","20,074 ",+70,"2,233,027","+16,202","610,737",642,"166,603","1,168","19,205,114","1,117,254","17,189,574 ",Europe
Philippines,"2,836,360",+356,"50,096 ",+135,"2,774,891",+878,"11,373",899,"25,396",449,"24,522,686","219,573","111,683,522 ",Asia
Malaysia,"2,688,149","+4,626","30,862 ",+31,"2,596,509","+4,690","60,778",396,"81,549",936,"39,173,380","1,188,376","32,963,803 ",Asia
Czechia,"2,325,181","+12,386","34,377 ",+62,"2,008,647",+533,"282,157","1,067","216,545","3,202","45,400,146","4,228,128","10,737,646 ",Europe
Peru,"2,251,027",,"201,650 ",,N/A,N/A,N/A,993,"66,927","5,995","20,753,581","617,044","33,633,902 ",South America
Thailand,"2,164,859","+4,079","21,149 ",+39,"2,090,253","+7,302","53,457","1,369","30,903",302,"14,913,135","212,885","70,052,677 ",Asia
Iraq,"2,087,497",+250,"23,965 ",+6,"2,054,696",+615,"8,836",86,"50,274",577,"16,539,839","398,336","41,522,281 ",Asia
Belgium,"1,929,772","+15,245","27,504 ",+41,"1,421,499","+10,085","480,769",827,"165,470","2,358","25,785,017","2,210,955","11,662,387 ",Europe
Canada,"1,831,733","+3,978","29,910 ",+10,"1,765,882","+1,015","35,941",469,"47,927",783,"49,829,014","1,303,763","38,219,377 ",North America
Romania,"1,792,433",+931,"57,636 ",+73,"1,714,239","+2,297","20,558",712,"94,079","3,025","16,396,701","860,608","19,052,454 ",Europe
Chile,"1,781,227","+1,362","38,646 ",+8,"1,679,447","+2,695","63,134",687,"92,040","1,997","26,276,042","1,357,735","19,352,846 ",South America
Japan,"1,728,548",+138,"18,372 ",+1,"1,709,270",+144,906,25,"13,728",146,"28,431,738","225,796","125,917,681 ",Asia
Bangladesh,"1,578,996",+177,"28,022 ",+5,"1,543,862",+122,"7,112","1,369","9,452",168,"11,098,586","66,437","167,055,318 ",Asia
Vietnam,"1,398,413","+16,141","27,611 ",+209,"1,053,425","+1,084","317,377","7,558","14,182",280,"71,152,452","721,616","98,601,587 ",Asia
Israel,"1,349,741",+356,"8,210 ",,"1,335,728",+492,"5,803",102,"144,729",880,"35,924,740","3,852,106","9,326,000 ",Asia
Pakistan,"1,288,761",+395,"28,823 ",+11,"1,250,427",+358,"9,511",759,"5,676",127,"22,479,184","98,996","227,071,093 ",Asia
Serbia,"1,273,103","+1,309","12,148 ",+35,"1,226,748","+2,995","34,207",179,"146,560","1,398","6,968,519","802,217","8,686,577 ",Europe
Sweden,"1,229,217",,"15,158 ",,"1,166,352",,"47,707",48,"120,629","1,488","13,934,770","1,367,481","10,190,099 ",Europe
Austria,"1,225,555","+4,460","13,143 ",+67,"1,138,722","+9,284","73,690",573,"134,965","1,447","114,668,040","12,627,909","9,080,525 ",Europe
Portugal,"1,190,409","+5,373","18,645 ",+19,"1,106,116","+4,205","65,648",142,"117,238","1,836","22,443,244","2,210,329","10,153,801 ",Europe
Hungary,"1,182,922",,"36,429 ",,"968,897",,"177,596",573,"122,902","3,785","8,768,881","911,057","9,624,951 ",Europe
