"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,265160308,705204,5258074,7923,238937526,448359,20964708,86587,34018.0,674.6,39024360711,2514490920,47199316668,All,14.9,0.2,444.2
China,98993,96,4636,0,93385,30,972,10,69.0,3.0,160000000,111163,1439323776,Asia,0.1,0.0,0.7
USA,49878049,147434,808116,1352,39463245,73599,9606688,13714,149443.0,2421.0,759601375,2275890,333760103,North America,441.7,4.1,28783.2
India,34624360,8603,470530,415,34045666,8612,108164,8944,24745.0,336.0,644668082,460717,1399272504,Asia,6.1,0.3,77.3
Brazil,22129409,10627,615454,229,21357412,5907,156543,8318,103069.0,2866.0,63776166,297040,214705739,South America,49.5,1.1,729.1
UK,10378256,50120,145424,143,9156066,29938,1076766,895,151745.0,2126.0,366108215,5353035,68392645,Europe,732.8,2.1,15743.9
Russia,9736037,32930,278857,1217,8436631,36514,1020549,2300,66675.0,1910.0,226800000,1553176,146023393,Europe,225.5,8.3,6988.9
Turkey,8861386,21495,77417,187,8392971,20193,390998,1405,103487.0,904.0,108745783,1269982,85627781,Asia,251.0,2.2,4566.3
France,7823388,49858,119457,127,7155819,14543,548112,2058,119480.0,1824.0,162981031,2489067,65478756,Europe,761.4,1.9,8370.8
Iran,6129199,3603,130066,78,5908901,7369,90232,3296,71670.0,1521.0,39093355,457129,85519258,Asia,42.1,0.9,1055.1
Germany,6097477,70681,103308,399,5023300,43600,970869,4636,72447.0,1227.0,85782441,1019222,84164610,Europe,839.8,4.7,11535.4
Argentina,5337692,2382,116639,22,5198099,2003,22954,657,116582.0,2548.0,26355038,575629,45784786,South America,52.0,0.5,501.3
Spain,5202958,13738,88159,37,4927391,1413,187408,814,111221.0,1885.0,66213858,1415415,46780515,Europe,293.7,0.8,4006.1
Italy,5077440,17025,134077,74,4727214,9658,216149,708,84153.0,2222.0,121173417,2008328,60335462,Europe,282.2,1.2,3582.5
Colombia,5076378,2299,128685,42,4916313,2392,31380,342,98278.0,2491.0,28258816,547089,51653038,South America,44.5,0.8,607.5
Indonesia,4257243,245,143858,8,4105680,328,7705,0,15334.0,518.0,55342143,199337,277630880,Asia,0.9,0.0,27.8
Mexico,3894364,3146,294715,287,3250478,2466,349171,4798,29761.0,2252.0,11904011,90970,130856396,North America,24.0,2.2,2668.4
Poland,3623451,26964,85128,472,3091259,25041,447064,1968,95890.0,2253.0,24764134,655349,37787697,Europe,713.6,12.5,11830.9
Ukraine,3477649,13777,87566,509,3018620,22893,371463,177,80204.0,2020.0,16009215,369214,43360236,Europe,317.7,11.7,8566.9
South Africa,3004203,16055,89940,25,2852898,1993,61365,546,49763.0,1490.0,19646423,325432,60370339,Africa,265.9,0.4,1016.5
Philippines,2833777,443,48987,235,2769587,407,15203,1023,25381.0,439.0,24313150,217759,111651639,Asia,4.0,2.1,136.2
Netherlands,2706263,21529,19586,62,2137058,9044,549619,609,157444.0,1139.0,19205114,1117307,17188747,Europe,1252.5,3.6,31975.5
Malaysia,2649578,5551,30538,17,2556554,5301,62486,499,80401.0,927.0,38161832,1158007,32954740,Asia,168.4,0.5,1896.1
Peru,2241027,1606,201326,44,0,0,0,967,66650.0,5988.0,20463224,608592,33623860,South America,47.8,1.3,0.0
Czechia,2212056,18596,33523,109,1894921,500,283612,1056,206018.0,3122.0,44071446,4104552,10737213,Europe,1731.9,10.2,26413.9
Thailand,2130641,4912,20878,33,2037000,5844,72763,1369,30416.0,298.0,14913135,212896,70048860,Asia,70.1,0.5,1038.7
Iraq,2083515,741,23867,8,2048378,1112,11270,100,50202.0,575.0,16405036,395278,41502505,Asia,17.9,0.2,271.5
Belgium,1809557,23113,27120,48,1351555,5627,430882,793,155176.0,2326.0,24998146,2143687,11661287,Europe,1982.0,4.1,36949.8
Canada,1802359,3487,29757,20,1745281,2757,27321,497,47167.0,779.0,49099908,1284929,38212152,North America,91.3,0.5,715.0
Romania,1783630,1673,56910,183,1695283,3927,31437,1031,93603.0,2987.0,16108574,845362,19055244,Europe,87.8,9.6,1649.8
Chile,1768584,2091,38439,36,1661024,1253,69121,692,91403.0,1987.0,25803364,1333558,19349263,South America,108.1,1.9,3572.3
Japan,1727560,130,18363,1,1708345,126,852,32,13719.0,146.0,28040512,222674,125926107,Asia,1.0,0.0,6.8
Bangladesh,1577070,243,27989,3,1541886,225,7195,1382,9442.0,168.0,10946046,65538,167019482,Asia,1.5,0.0,43.1
Israel,1345083,415,8199,0,1331497,434,5387,112,144229.0,879.0,31188024,3344202,9326000,Asia,44.5,0.0,577.6
Pakistan,1286022,391,28753,8,1245155,2437,12114,895,5666.0,127.0,22118750,97449,226977186,Asia,1.7,0.0,53.4
Vietnam,1280780,13670,25858,200,1006459,1149,248463,6449,12992.0,262.0,69433777,704322,98582463,Asia,138.7,2.0,2520.4
Serbia,1260806,1801,11837,45,1202858,3439,46111,172,145131.0,1363.0,6860373,789698,8687342,Europe,207.3,5.2,5307.8
Sweden,1212145,0,15136,0,1161101,828,35908,43,118969.0,1486.0,13708481,1345456,10188725,Europe,0.0,0.0,3524.3
Austria,1185982,6738,12693,68,1050051,13498,123238,643,130623.0,1398.0,111937966,12328779,9079404,Europe,742.1,7.5,13573.4
Portugal,1157352,2535,18492,21,1082421,3713,56439,129,113975.0,1821.0,21283107,2095939,10154448,Europe,249.6,2.1,5558.1
Hungary,1134869,10143,35122,191,910745,8745,189002,566,117903.0,3649.0,8559975,889303,9625484,Europe,1053.8,19.8,19635.6
Switzerland,1039730,4838,11612,9,867860,2970,160258,213,118901.0,1328.0,12597593,1440626,8744527,Europe,553.3,1.0,18326.7
Kazakhstan,973769,724,12734,18,939566,1231,21469,528,50994.0,667.0,11575012,606161,19095600,Asia,37.9,0.9,1124.3
Jordan,968425,4770,11687,26,897728,3651,59010,1144,93595.0,1130.0,12320807,1190763,10346981,Asia,461.0,2.5,5703.1
Cuba,962892,114,8306,1,953882,160,704,22,85085.0,734.0,11160862,986222,11316790,North America,10.1,0.1,62.2
Greece,957552,6201,18427,102,860595,4017,78530,694,92511.0,1780.0,37549349,3627718,10350679,Europe,599.1,9.9,7586.9
Morocco,950374,151,14784,2,932737,172,2853,347,25322.0,394.0,10477982,279177,37531745,Africa,4.0,0.1,76.0
Georgia,857933,4100,12258,67,799850,3397,45825,0,215654.0,3081.0,11714425,2944593,3978283,Asia,1030.6,16.8,11518.8
Nepal,822172,223,11535,0,803716,347,6921,0,27515.0,386.0,4649390,155600,29880391,Asia,7.5,0.0,231.6
UAE,742163,54,2148,0,737103,79,2912,0,73773.0,214.0,101872653,10126437,10060069,Asia,5.4,0.0,289.5
Tunisia,718059,151,25390,9,691410,111,1259,68,59867.0,2117.0,3188390,265827,11994233,Africa,12.6,0.8,105.0
Slovakia,712749,15278,14696,90,578636,7315,119417,630,130459.0,2690.0,4678940,856415,5463400,Europe,2796.4,16.5,21857.6
Bulgaria,701469,2289,28769,113,570241,3323,102459,684,102046.0,4185.0,6668930,970156,6874080,Europe,333.0,16.4,14905.1
Lebanon,675765,1765,8755,10,634994,692,32016,186,99641.0,1291.0,4795578,707104,6781995,Asia,260.2,1.5,4720.7
Belarus,660204,1876,5130,16,648305,2201,6769,0,69901.0,543.0,10478624,1109447,9444906,Europe,198.6,1.7,716.7
Croatia,623776,4521,11096,53,581031,5422,31649,313,153289.0,2727.0,3489551,857536,4069276,Europe,1111.0,13.0,7777.6
Guatemala,619040,313,15972,5,601824,353,1244,5,33670.0,869.0,3141170,170848,18385774,North America,17.0,0.3,67.7
Azerbaijan,593588,1703,7929,24,560999,2180,24660,0,57804.0,772.0,5578401,543229,10268973,Asia,165.8,2.3,2401.4
Ireland,583472,5408,5707,0,451327,3186,126438,110,116320.0,1138.0,8983297,1790890,5016107,Europe,1078.1,0.0,25206.4
Costa Rica,567383,120,7312,3,552158,1629,7913,77,109954.0,1417.0,2715029,526150,5160184,North America,23.3,0.6,1533.5
Sri Lanka,566196,725,14419,20,541536,412,10241,0,26285.0,669.0,5661108,262808,21540815,Asia,33.7,0.9,475.4
Saudi Arabia,549848,38,8840,1,538990,24,2018,41,15452.0,248.0,31610540,888351,35583380,Asia,1.1,0.0,56.7
Bolivia,540869,1107,19205,9,495349,638,26315,220,45455.0,1614.0,2593083,217923,11899063,South America,93.0,0.8,2211.5
Ecuador,526870,0,33250,0,443880,0,49740,759,29233.0,1845.0,2013368,111709,18023312,South America,0.0,0.0,2759.8
Myanmar,523748,402,19127,7,499264,516,5357,0,9535.0,348.0,5646267,102794,54927950,Asia,7.3,0.1,97.5
Denmark,501760,4559,2927,15,0,0,0,57,86196.0,503.0,94987887,16317623,5821184,Europe,783.2,2.6,0.0
Panama,478543,268,7371,1,468416,215,2756,20,108484.0,1671.0,4258361,965359,4411167,North America,60.8,0.2,624.8
Lithuania,476439,2125,6811,20,440857,1449,28771,131,178557.0,2553.0,6219424,2330880,2668273,Europe,796.4,7.5,10782.6
Paraguay,463260,61,16476,1,446002,74,782,47,63837.0,2270.0,1956252,269570,7256932,South America,8.4,0.1,107.8
S. Korea,462555,4943,3739,34,403419,2834,55397,736,9011.0,73.0,15804065,307880,51331890,Asia,96.3,0.7,1079.2
Venezuela,433660,452,5177,7,420987,551,7496,681,15312.0,183.0,3359014,118603,28321416,South America,16.0,0.2,264.7
Palestine,431398,287,4543,1,423549,245,3306,48,81866.0,862.0,2752068,522256,5269575,Asia,54.5,0.2,627.4
Slovenia,427037,1739,5272,17,389959,3501,31806,270,205371.0,2535.0,1955101,940249,2079344,Europe,836.3,8.2,15296.2
Kuwait,413441,22,2465,0,410684,21,292,3,94821.0,565.0,5390437,1236277,4360218,Asia,5.0,0.0,67.0
Dominican Republic,407918,289,4212,2,401475,639,2231,165,37075.0,383.0,2473093,224778,11002396,North America,26.3,0.2,202.8
Uruguay,400542,267,6132,0,392090,210,2320,16,114741.0,1757.0,4138710,1185593,3490836,South America,76.5,0.0,664.6
Mongolia,382898,375,2011,3,313256,0,67631,192,114188.0,600.0,4030048,1201846,3353214,Asia,111.8,0.9,20169.0
Honduras,378113,67,10413,1,121722,527,245978,59,37333.0,1028.0,1121382,110719,10128180,North America,6.6,0.1,24286.5
Libya,374280,541,5480,4,352416,2177,16384,0,53439.0,782.0,1921686,274372,7003936,Africa,77.2,0.6,2339.3
Ethiopia,371946,143,6787,3,349464,158,15695,217,3126.0,57.0,3888935,32680,119000865,Africa,1.2,0.0,131.9
Moldova,365713,548,9192,30,349581,636,6940,165,90959.0,2286.0,2210968,549905,4020637,Europe,136.3,7.5,1726.1
Egypt,361368,933,20643,49,299434,569,41291,90,3439.0,196.0,3693367,35151,105072780,Africa,8.9,0.5,393.0
Armenia,339977,399,7644,13,319476,995,12857,0,114427.0,2573.0,2389456,804229,2971113,Asia,134.3,4.4,4327.3
Oman,304581,0,4113,0,300021,0,447,2,57569.0,777.0,25000000,4725236,5290741,Asia,0.0,0.0,84.5
Norway,279954,4191,1093,0,88952,0,189909,68,51073.0,199.0,8665209,1580823,5481453,Europe,764.6,0.0,34645.7
Bahrain,277772,20,1394,0,276058,19,320,2,155586.0,781.0,7458378,4177591,1785330,Asia,11.2,0.0,179.2
Bosnia and Herzegovina,277228,680,12687,29,192218,0,72323,0,85254.0,3902.0,1407341,432787,3251807,Europe,209.1,8.9,22240.9
Singapore,267916,766,744,9,256517,1393,10655,50,45289.0,126.0,21098774,3566575,5915696,Asia,129.5,1.5,1801.1
Latvia,256125,723,4248,16,240660,1195,11217,137,137958.0,2288.0,5367826,2891297,1856546,Europe,389.4,8.6,6041.9
Kenya,255355,95,5335,0,248398,22,1622,8,4605.0,96.0,2848757,51374,55451083,Africa,1.7,0.0,29.3
Qatar,243912,154,611,0,241198,137,2103,11,86869.0,218.0,3011489,1072542,2807805,Asia,54.8,0.0,749.0
Estonia,224195,507,1810,2,206452,1156,15933,34,168847.0,1363.0,2351838,1771225,1327803,Europe,381.8,1.5,11999.5
North Macedonia,216670,342,7616,7,201017,348,8037,0,104006.0,3656.0,1478883,709892,2083252,Europe,164.2,3.4,3857.9
Australia,214885,1525,2032,11,196856,1170,15997,71,8290.0,78.0,48415662,1867889,25919986,Australia/Oceania,58.8,0.4,617.2
Nigeria,214513,196,2980,2,207403,46,4130,11,1005.0,14.0,3580510,16780,213383142,Africa,0.9,0.0,19.4
Algeria,211112,191,6089,6,144909,156,60114,15,4694.0,135.0,230861,5133,44974575,Africa,4.2,0.1,1336.6
Zambia,210262,42,3667,0,206443,18,152,6,11001.0,192.0,2737800,143238,19113612,Africa,2.2,0.0,8.0
Albania,201045,406,3108,4,191386,484,6551,23,69969.0,1082.0,1400658,487468,2873331,Europe,141.3,1.4,2279.9
Botswana,195302,0,2419,0,192452,0,431,1,80737.0,1000.0,1873214,774381,2418982,Africa,0.0,0.0,178.2
Uzbekistan,193893,260,1413,4,190503,198,1977,23,5676.0,41.0,1377915,40340,34157730,Asia,7.6,0.1,57.9
Finland,191226,1496,1360,4,46000,0,143866,51,34437.0,245.0,8009940,1442465,5552952,Europe,269.4,0.7,25908.0
Kyrgyzstan,183510,50,2755,3,178478,74,2277,131,27484.0,413.0,1842416,275937,6676951,Asia,7.5,0.4,341.0
Montenegro,158076,207,2322,8,153487,350,2267,60,251642.0,3696.0,912951,1453329,628179,Europe,329.5,12.7,3608.8
Afghanistan,157423,20,7311,0,140609,13,9503,1124,3919.0,182.0,794668,19782,40171638,Asia,0.5,0.0,236.6
Mozambique,151763,111,1941,0,149575,37,247,8,4670.0,60.0,983357,30260,32496434,Africa,3.4,0.0,7.6
Zimbabwe,137441,1062,4708,1,128847,18,3886,12,9060.0,310.0,1613862,106385,15170042,Africa,70.0,0.1,256.2
Cyprus,136097,594,599,1,124370,0,11128,49,111569.0,491.0,9477138,7769139,1219844,Asia,486.9,0.8,9122.5
Ghana,130920,0,1209,0,129042,0,669,5,4092.0,38.0,1933408,60432,31992946,Africa,0.0,0.0,20.9
Namibia,129508,184,3573,0,125506,6,429,1,49692.0,1371.0,796279,305533,2606196,Africa,70.6,0.0,164.6
Uganda,127584,33,3253,1,97579,12,26752,115,2670.0,68.0,1972975,41287,47787347,Africa,0.7,0.0,559.8
Cambodia,120207,24,2953,4,116569,21,685,0,7051.0,173.0,2723956,159787,17047428,Asia,1.4,0.2,40.2
El Salvador,119803,0,3781,2,102982,0,13040,246,18339.0,579.0,1440742,220543,6532702,North America,0.0,0.3,1996.1
Cameroon,107148,0,1804,0,102716,0,2628,152,3899.0,66.0,1751774,63741,27482681,Africa,0.0,0.0,95.6
Rwanda,100391,10,1343,0,45522,0,53526,1,7488.0,100.0,3511198,261885,13407414,Africa,0.7,0.0,3992.3
Maldives,91993,100,251,0,90003,90,1739,23,166036.0,453.0,1763026,3182053,554053,Asia,180.5,0.0,3138.7
Jamaica,91369,65,2406,4,62747,45,26216,9,30666.0,808.0,675238,226626,2979531,North America,21.8,1.3,8798.7
Luxembourg,90774,438,880,1,84834,298,5060,17,141739.0,1374.0,3704591,5784528,640431,Europe,683.9,1.6,7900.9
Laos,77500,1004,191,5,7339,0,69970,0,10437.0,26.0,810421,109141,7425420,Asia,135.2,0.7,9423.0
Senegal,74007,11,1886,0,72096,2,25,2,4261.0,109.0,877339,50511,17369376,Africa,0.6,0.0,1.4
Trinidad and Tobago,73759,984,2215,17,59837,474,11707,22,52463.0,1575.0,455530,324007,1405927,North America,699.9,12.1,8326.9
Angola,65223,15,1735,0,63295,32,193,3,1901.0,51.0,1192540,34753,34314630,Africa,0.4,0.0,5.6
Malawi,61949,13,2307,0,58814,7,828,67,3124.0,116.0,445277,22454,19830691,Africa,0.7,0.0,41.8
Ivory Coast,61794,19,705,0,60832,16,257,0,2263.0,26.0,1159053,42449,27304353,Africa,0.7,0.0,9.4
Réunion,61188,0,384,0,57781,0,3023,18,67657.0,425.0,1347378,1489823,904388,Africa,0.0,0.0,3342.6
DRC,58319,0,1107,0,50930,0,6282,0,624.0,12.0,306299,3279,93419112,Africa,0.0,0.0,67.2
Guadeloupe,55284,0,748,0,2250,0,52286,23,138134.0,1869.0,551264,1377399,400221,North America,0.0,0.0,130642.8
Fiji,52543,2,697,0,51116,10,730,0,58015.0,770.0,461940,510052,905672,Australia/Oceania,2.2,0.0,806.0
Suriname,50929,47,1169,0,29576,2,20184,9,85725.0,1968.0,160656,270420,594097,South America,79.1,0.0,33974.2
Syria,48452,95,2767,7,29507,115,16178,0,2676.0,153.0,103566,5721,18103424,Asia,5.2,0.4,893.6
Eswatini,47158,241,1248,0,45255,7,655,11,40059.0,1060.0,391835,332847,1177222,Africa,204.7,0.0,556.4
French Polynesia,46323,2,636,0,0,0,0,7,163561.0,2246.0,0,0,283215,Australia/Oceania,7.1,0.0,0.0
French Guiana,46142,48,328,0,11254,0,34560,7,149011.0,1059.0,454826,1468811,309656,South America,155.0,0.0,111607.7
Martinique,45501,0,718,0,104,0,44679,1,121384.0,1915.0,416247,1110433,374851,North America,0.0,0.0,119191.4
Madagascar,44330,0,967,0,42915,0,448,3,1545.0,34.0,283728,9886,28700170,Africa,0.0,0.0,15.6
Sudan,43489,0,3164,0,35491,0,4834,0,960.0,70.0,238579,5267,45301015,Africa,0.0,0.0,106.7
Malta,39806,138,468,0,37578,61,1760,2,89812.0,1056.0,1211456,2733343,443214,Europe,311.4,0.0,3971.0
Mauritania,39468,60,837,2,37766,66,865,16,8183.0,174.0,510288,105805,4822900,Africa,12.4,0.4,179.4
Cabo Verde,38426,21,351,1,37963,4,112,23,68063.0,622.0,211166,374035,564562,Africa,37.2,1.8,198.4
Guyana,38068,41,1001,3,36024,133,1043,17,48069.0,1264.0,394277,497860,791944,South America,51.8,3.8,1317.0
Gabon,37391,49,279,0,32693,397,4419,10,16256.0,121.0,1399453,608404,2300202,Africa,21.3,0.0,1921.1
Papua New Guinea,35390,36,550,0,34322,79,518,7,3852.0,60.0,249149,27118,9187474,Australia/Oceania,3.9,0.0,56.4
Guinea,30770,0,387,0,29725,0,658,49,2256.0,28.0,569940,41792,13637686,Africa,0.0,0.0,48.2
Belize,30680,62,579,1,28979,32,1122,10,75220.0,1420.0,354279,868608,407870,North America,152.0,2.5,2750.9
Togo,26284,2,243,0,25921,3,120,0,3073.0,28.0,583076,68165,8553854,Africa,0.2,0.0,14.0
Tanzania,26270,0,730,0,0,0,0,7,423.0,12.0,0,0,62145354,Africa,0.0,0.0,0.0
Barbados,25792,165,234,1,22992,362,2566,0,89594.0,813.0,439135,1525436,287875,North America,573.2,3.5,8913.6
Haiti,25463,112,747,1,21547,44,3169,0,2195.0,64.0,132422,11416,11599887,North America,9.7,0.1,273.2
Benin,24863,0,161,0,24546,0,156,5,1977.0,13.0,604310,48063,12573314,Africa,0.0,0.0,12.4
Seychelles,23537,0,127,0,22912,0,498,0,237239.0,1280.0,0,0,99212,Africa,0.0,0.0,5019.6
Somalia,23051,35,1331,4,12325,279,9395,0,1395.0,81.0,262138,15866,16521628,Africa,2.1,0.2,568.6
Bahamas,22825,16,695,10,21615,1,515,1,57266.0,1744.0,169626,425576,398580,North America,40.1,25.1,1292.1
Mauritius,21868,108,455,0,20030,107,1383,0,17155.0,357.0,358675,281365,1274767,Africa,84.7,0.0,1084.9
Lesotho,21838,31,663,0,13741,34,7434,0,10080.0,306.0,262081,120977,2166371,Africa,14.3,0.0,3431.5
Mayotte,21003,30,185,0,2964,0,17854,0,74440.0,656.0,176919,627043,282148,Africa,106.3,0.0,63278.8
Burundi,20439,7,38,0,773,0,19628,0,1649.0,3.0,345742,27899,12392567,Africa,0.6,0.0,1583.9
Timor-Leste,19827,5,122,0,19699,2,6,0,14643.0,90.0,169501,125179,1354071,Asia,3.7,0.0,4.4
Congo,18970,0,354,0,12421,0,6195,0,3322.0,62.0,188207,32957,5710652,Africa,0.0,0.0,1084.8
Channel Islands,18893,237,104,0,16459,201,2330,0,107262.0,590.0,1085647,6163581,176139,Europe,1345.5,0.0,13228.2
Iceland,18333,135,35,0,16721,124,1577,4,53233.0,102.0,1256171,3647535,344389,Europe,392.0,0.0,4579.1
Andorra,18010,352,132,0,16162,83,1716,4,232564.0,1705.0,193595,2499903,77441,Europe,4545.4,0.0,22158.8
Mali,17698,126,613,2,15206,7,1879,0,840.0,29.0,493560,23417,21077385,Africa,6.0,0.1,89.1
Curaçao,17455,15,179,0,17186,12,90,3,105758.0,1085.0,337789,2046635,165046,North America,90.9,0.0,545.3
Nicaragua,17254,0,210,0,4225,0,12819,0,2561.0,31.0,0,0,6736462,North America,0.0,0.0,1902.9
Tajikistan,17095,0,124,0,16966,0,5,0,1737.0,13.0,0,0,9841443,Asia,0.0,0.0,0.5
Taiwan,16637,11,848,0,15631,4,158,0,697.0,36.0,8481087,355184,23878033,Asia,0.5,0.0,6.6
Aruba,16414,22,174,0,16046,16,194,13,152816.0,1620.0,177885,1656131,107410,North America,204.8,0.0,1806.2
Burkina Faso,16000,0,286,0,15345,0,369,0,737.0,13.0,234250,10787,21715649,Africa,0.0,0.0,17.0
Brunei ,15142,10,98,0,14647,41,397,0,34148.0,221.0,631475,1424076,443428,Asia,22.6,0.0,895.3
Equatorial Guinea,13599,0,175,0,13346,0,78,1,9262.0,119.0,242340,165051,1468270,Africa,0.0,0.0,53.1
Djibouti,13506,1,187,0,13294,0,25,0,13394.0,185.0,247767,245705,1008394,Africa,1.0,0.0,24.8
Saint Lucia,13027,10,282,2,12636,11,109,9,70485.0,1526.0,100741,545079,184819,North America,54.1,10.8,589.8
