"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,267370020,597890,5286104,7708,240753877,481263,21330039,87866,34301.0,678.2,39469037355,2545436754,47204231124,All,12.7,0.2,451.9
China,99297,94,4636,0,93554,47,1107,16,69.0,3.0,160000000,111163,1439323776,Asia,0.1,0.0,0.8
USA,50270136,107642,812205,1722,39742867,67667,9715064,14377,150608.0,2433.0,766393274,2296094,333781277,North America,322.5,5.2,29106.1
India,34656506,8123,473757,0,34079612,10004,103137,8944,24765.0,339.0,649447014,464083,1399420665,Asia,5.8,0.0,73.7
Brazil,22157726,10250,616067,278,21386271,15883,155388,8318,103193.0,2869.0,63776166,297017,214722227,South America,47.7,1.3,723.7
UK,10560341,45691,145826,180,9300698,41519,1113817,901,154399.0,2132.0,370541215,5417544,68396535,Europe,668.0,2.6,16284.7
Russia,9864845,31096,283644,1182,8565091,34615,1016110,2300,67556.0,1942.0,228800000,1566865,146024075,Europe,213.0,8.1,6958.5
Turkey,8943837,22687,78215,198,8486689,24366,378933,1128,104438.0,913.0,110159341,1286342,85637694,Asia,264.9,2.3,4424.8
France,7987591,59019,119899,172,7211231,20102,656461,2351,121985.0,1831.0,170480237,2603534,65480330,Europe,901.3,2.6,10025.3
Germany,6270761,51592,104361,448,5170400,50300,996000,4636,74503.0,1240.0,85782441,1019187,84167530,Europe,613.0,5.3,11833.5
Iran,6141335,3514,130356,79,5936975,6473,74004,3213,71802.0,1524.0,39415479,460833,85531007,Asia,41.1,0.9,865.2
Argentina,5346242,3089,116703,23,5205534,1725,24005,687,116757.0,2549.0,26501999,578781,45789314,South America,67.5,0.5,524.2
Spain,5246766,10952,88237,18,4937402,3075,221127,814,112157.0,1886.0,66213858,1415409,46780712,Europe,234.1,0.4,4726.9
Italy,5134318,15756,134386,88,4759038,10584,240894,776,85098.0,2227.0,123331813,2044134,60334494,Europe,261.1,1.5,3992.6
Colombia,5084466,1704,128874,53,4925444,2011,30148,342,98424.0,2495.0,28431055,550361,51658961,South America,33.0,1.0,583.6
Indonesia,4258076,261,143893,17,4108717,420,5466,0,15335.0,518.0,56549237,203662,277662471,Asia,0.9,0.1,19.7
Mexico,3902015,752,295312,110,3260084,2408,346619,4798,29816.0,2257.0,11954353,91344,130871191,North America,5.7,0.8,2648.6
Poland,3704040,19366,86205,504,3184676,16922,433159,2036,98024.0,2281.0,25095931,664138,37787245,Europe,512.5,13.3,11463.1
Ukraine,3510610,8655,88986,467,3082619,22878,339005,177,80969.0,2052.0,16119721,371787,43357380,Europe,199.6,10.8,7818.9
South Africa,3051222,13147,90002,27,2864648,3276,96572,546,50535.0,1491.0,19838883,328575,60378511,Africa,217.7,0.4,1599.4
Philippines,2835345,356,49591,92,2772728,871,13026,899,25391.0,444.0,24390103,218417,111667580,Asia,3.2,0.8,116.6
Netherlands,2790830,17911,19770,68,2181308,11315,589752,620,162360.0,1150.0,19205114,1117280,17189161,Europe,1042.0,4.0,34309.5
Malaysia,2667999,4965,30718,66,2576870,4817,60411,437,80948.0,932.0,38569695,1170223,32959271,Asia,150.6,2.0,1832.9
Czechia,2262666,15541,33902,54,1942950,507,285814,1009,210727.0,3157.0,44927649,4184209,10737430,Europe,1447.4,5.0,26618.5
Peru,2245146,0,201421,0,0,0,0,976,66762.0,5990.0,20580665,611994,33628881,South America,0.0,0.0,0.0
Thailand,2148766,3525,20995,31,2061374,6109,66397,1369,30674.0,300.0,14913135,212890,70050769,Asia,50.3,0.4,947.8
Iraq,2085586,625,23919,16,2051912,952,9755,85,50240.0,576.0,16469999,396749,41512393,Asia,15.1,0.4,235.0
