"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"267,409,365","+627,031","5,286,822","+8,223","240,775,033","+482,490","21,347,510","87,887","34,306",678.2,,,,All
China,"99,297",+94,"4,636 ",,"93,554",+47,"1,107",16,69,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"50,292,345","+122,415","812,574 ","+1,947","39,742,867","+67,667","9,736,904","14,377","150,672","2,434","766,520,060","2,296,438","333,786,570 ",North America
India,"34,656,822","+8,439","473,952 ",+195,"34,079,612","+10,004","103,258","8,944","24,764",339,"649,447,014","464,070","1,399,457,705 ",Asia
Brazil,"22,157,726","+10,250","616,067 ",+278,"21,386,271","+15,883","155,388","8,318","103,191","2,869","63,776,166","297,011","214,726,349 ",South America
UK,"10,559,616","+45,449","145,826 ",+180,"9,300,698","+41,519","1,113,092",901,"154,386","2,132","370,541,215","5,417,467","68,397,507 ",Europe
Russia,"9,864,845","+31,096","283,644 ","+1,182","8,565,091","+34,615","1,016,110","2,300","67,556","1,942","228,800,000","1,566,863","146,024,245 ",Europe
Turkey,"8,943,837","+22,687","78,215 ",+198,"8,486,689","+24,366","378,933","1,128","104,435",913,"110,159,341","1,286,305","85,640,173 ",Asia
France,"7,987,591","+59,019","119,899 ",+172,"7,211,231","+20,102","656,461","2,351","121,984","1,831","170,480,237","2,603,518","65,480,724 ",Europe
Germany,"6,270,761","+51,592","104,361 ",+448,"5,170,400","+50,300","996,000","4,636","74,503","1,240","85,782,441","1,019,178","84,168,260 ",Europe
Iran,"6,141,335","+3,514","130,356 ",+79,"5,936,975","+6,473","74,004","3,213","71,800","1,524","39,415,479","460,817","85,533,945 ",Asia
Argentina,"5,346,242","+3,089","116,703 ",+23,"5,205,534","+1,725","24,005",687,"116,755","2,549","26,501,999","578,767","45,790,446 ",South America
Spain,"5,246,766","+10,952","88,237 ",+18,"4,937,402","+3,075","221,127",814,"112,156","1,886","66,213,858","1,415,408","46,780,761 ",Europe
Italy,"5,134,305","+15,743","134,386 ",+88,"4,759,038","+10,584","240,881",776,"85,098","2,227","123,331,813","2,044,143","60,334,252 ",Europe
Colombia,"5,084,466","+1,704","128,874 ",+53,"4,925,444","+2,011","30,148",342,"98,421","2,495","28,431,055","550,345","51,660,442 ",South America
