"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"266,772,859","484,566","5,278,377","6,061","240,272,614","503,094","21,221,868","87,019","34,224",677.2,,,,All
China,"99,203",61,"4,636",,"93,507",37,"1,060",12,69,3,"160,000,000","111,163","1,439,323,776",Asia
USA,"50,163,223","91,965","810,464",725,"39,675,200","122,733","9,677,559","13,997","150,288","2,428","764,798,583","2,291,317","333,781,277",North America
India,"34,648,383","6,822","473,757",220,"34,069,608","8,834","105,018","8,944","24,759",339,"648,259,067","463,234","1,399,420,665",Asia
Brazil,"22,147,476","4,385","615,789",115,"21,370,388","7,835","161,299","8,318","103,145","2,868","63,776,166","297,017","214,722,227",South America
UK,"10,514,650","51,262","145,646",41,"9,259,179","38,553","1,109,825",900,"153,731","2,129","369,333,562","5,399,887","68,396,535",Europe
Russia,"9,833,749","32,136","282,462","1,184","8,530,476","28,070","1,020,811","2,300","67,343","1,934","228,500,000","1,564,810","146,024,075",Europe
Turkey,"8,921,150","20,033","78,017",187,"8,462,323","25,611","380,810","1,128","104,173",911,"109,804,024","1,282,193","85,637,694",Asia
France,"7,928,572","11,308","119,727",192,"7,191,129","19,749","617,716","2,066","121,083","1,828","167,925,512","2,564,518","65,480,330",Europe
Germany,"6,219,169","39,330","103,913",309,"5,120,100","37,600","995,156","4,636","73,890","1,235","85,782,441","1,019,187","84,167,530",Europe
Iran,"6,137,821","3,356","130,277",77,"5,930,502","7,186","77,042","3,232","71,761","1,523","39,415,479","460,833","85,531,007",Asia
Argentina,"5,343,153","2,477","116,680",34,"5,203,809","1,969","22,664",671,"116,690","2,548","26,452,899","577,709","45,789,314",South America
Spain,"5,235,814","10,952","88,219",20,"4,934,327","3,271","213,268",814,"111,922","1,886","66,213,858","1,415,409","46,780,712",Europe
Italy,"5,118,562","9,489","134,298",95,"4,748,454","5,567","235,810",743,"84,836","2,226","122,636,677","2,032,613","60,334,494",Europe
Colombia,"5,082,762","1,698","128,821",41,"4,923,433","2,122","30,508",342,"98,391","2,494","28,382,350","549,418","51,658,961",South America
Indonesia,"4,257,815",130,"143,876",9,"4,108,297","2,005","5,642",,"15,334",518,"56,152,356","202,232","277,662,471",Asia
Mexico,"3,901,263",970,"295,202",48,"3,257,676","1,874","348,385","4,798","29,810","2,256","11,949,792","91,310","130,871,191",North America
Poland,"3,684,674","13,253","85,701",26,"3,167,754","25,489","431,219","1,989","97,511","2,268","25,000,916","661,623","37,787,245",Europe
Ukraine,"3,501,955","4,478","88,519",239,"3,059,741","9,082","353,695",177,"80,770","2,042","16,089,778","371,097","43,357,380",Europe
South Africa,"3,038,075","6,381","89,975",9,"2,861,372","3,228","86,728",546,"50,317","1,490","19,785,993","327,699","60,378,511",Africa
Philippines,"2,834,989",378,"49,499",113,"2,771,857",580,"13,633",899,"25,388",443,"24,390,103","218,417","111,667,580",Asia
Netherlands,"2,772,919","20,965","19,702",34,"2,169,993","11,928","583,224",618,"161,318","1,146","19,205,114","1,117,280","17,189,161",Europe
Malaysia,"2,663,034","4,262","30,652",38,"2,572,053","5,894","60,329",463,"80,798",930,"38,474,592","1,167,337","32,959,271",Asia
Czechia,"2,247,125","6,331","33,848",94,"1,942,443",211,"270,834","1,014","209,280","3,152","44,333,278","4,128,854","10,737,430",Europe
Peru,"2,245,146","1,731","201,421",42,N/A,N/A,N/A,976,"66,762","5,990","20,580,665","611,994","33,628,881",South America
