"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,267409365,627031,5286822,8223,240775033,482490,21347510,87887,34306.0,678.2,39470831937,2545847514,47205459732,All,13.3,0.2,452.2
China,99297,94,4636,0,93554,47,1107,16,69.0,3.0,160000000,111163,1439323776,Asia,0.1,0.0,0.8
USA,50292345,122415,812574,1947,39742867,67667,9736904,14377,150672.0,2434.0,766520060,2296438,333786570,North America,366.7,5.8,29171.0
India,34656822,8439,473952,195,34079612,10004,103258,8944,24764.0,339.0,649447014,464070,1399457705,Asia,6.0,0.1,73.8
Brazil,22157726,10250,616067,278,21386271,15883,155388,8318,103191.0,2869.0,63776166,297011,214726349,South America,47.7,1.3,723.7
UK,10559616,45449,145826,180,9300698,41519,1113092,901,154386.0,2132.0,370541215,5417467,68397507,Europe,664.5,2.6,16273.9
Russia,9864845,31096,283644,1182,8565091,34615,1016110,2300,67556.0,1942.0,228800000,1566863,146024245,Europe,213.0,8.1,6958.5
Turkey,8943837,22687,78215,198,8486689,24366,378933,1128,104435.0,913.0,110159341,1286305,85640173,Asia,264.9,2.3,4424.7
France,7987591,59019,119899,172,7211231,20102,656461,2351,121984.0,1831.0,170480237,2603518,65480724,Europe,901.3,2.6,10025.3
Germany,6270761,51592,104361,448,5170400,50300,996000,4636,74503.0,1240.0,85782441,1019178,84168260,Europe,613.0,5.3,11833.4
Iran,6141335,3514,130356,79,5936975,6473,74004,3213,71800.0,1524.0,39415479,460817,85533945,Asia,41.1,0.9,865.2
Argentina,5346242,3089,116703,23,5205534,1725,24005,687,116755.0,2549.0,26501999,578767,45790446,South America,67.5,0.5,524.2
Spain,5246766,10952,88237,18,4937402,3075,221127,814,112156.0,1886.0,66213858,1415408,46780761,Europe,234.1,0.4,4726.9
Italy,5134305,15743,134386,88,4759038,10584,240881,776,85098.0,2227.0,123331813,2044143,60334252,Europe,260.9,1.5,3992.4
Colombia,5084466,1704,128874,53,4925444,2011,30148,342,98421.0,2495.0,28431055,550345,51660442,South America,33.0,1.0,583.6
Indonesia,4258076,261,143893,17,4108717,420,5466,0,15335.0,518.0,56549237,203656,277670368,Asia,0.9,0.1,19.7
