"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Iraq,"2,307,158","+1,066","25,034 ",+6,"2,252,820","+1,916","29,304",104,"55,288",600,"18,036,568","432,221","41,729,935 ",Asia
Bangladesh,"1,946,369",+604,"29,064 ",+6,"1,835,980","+4,403","81,325","1,275","11,625",174,"13,489,346","80,566","167,431,596 ",Asia
Serbia,"1,921,831","+2,504","15,375 ",+29,"1,832,694","+6,999","73,762",100,"221,446","1,772","8,814,153","1,015,627","8,678,537 ",Europe
Hungary,"1,800,046","+3,064","44,286 ",+75,"1,618,574","+8,259","137,186",126,"187,128","4,604","10,836,962","1,126,580","9,619,345 ",Europe
Jordan,"1,638,228",,"13,849 ",,"1,546,429",,"77,950",694,"157,941","1,335","16,319,298","1,573,335","10,372,422 ",Asia
Georgia,"1,620,639","+1,365","16,306 ",+32,"1,539,413","+9,790","64,920",,"407,568","4,101","15,965,223","4,015,029","3,976,366 ",Asia
Pakistan,"1,512,707",+953,"30,248 ",+11,"1,451,665","+2,605","30,794",890,"6,633",133,"26,570,773","116,509","228,057,110 ",Asia
Slovakia,"1,493,383","+11,029","18,631 ",+20,"1,305,892","+17,492","168,860",228,"273,310","3,410","6,464,073","1,183,016","5,464,063 ",Europe
Ireland,"1,315,100","+3,995","6,531 ",+4,"1,186,629","+5,934","121,940",43,"261,453","1,298","11,426,271","2,271,640","5,029,965 ",Europe
Kazakhstan,"1,303,316",+253,"13,623 ",+3,"1,273,733","+1,263","15,960",528,"68,051",711,"11,575,012","604,375","19,152,042 ",Asia
Norway,"1,299,549","+9,665","1,664 ",,"88,952",,"1,208,933",26,"236,622",303,"9,852,076","1,793,865","5,492,095 ",Europe
Morocco,"1,161,506",+114,"16,009 ",+3,"1,142,682",+364,"2,815",293,"30,857",425,"11,237,010","298,526","37,641,686 ",Africa
Bulgaria,"1,099,423","+2,125","35,790 ",+74,"851,999","+3,207","211,634",420,"160,242","5,216","9,253,599","1,348,723","6,861,007 ",Europe
Lebanon,"1,075,974","+1,602","10,134 ",+9,"682,977",,"382,863",186,"158,831","1,496","4,795,578","707,902","6,774,349 ",Asia
Cuba,"1,071,964",+638,"8,498 ",,"1,061,076",+574,"2,390",34,"94,738",751,"12,920,253","1,141,864","11,315,059 ",North America
Croatia,"1,061,429","+1,351","15,172 ",+27,"1,035,378","+2,486","10,879",74,"261,246","3,734","4,533,308","1,115,769","4,062,946 ",Europe
Tunisia,"1,003,255","+1,501","27,904 ",+30,"965,629","+4,326","9,722",173,"83,429","2,320","4,370,335","363,428","12,025,299 ",Africa
Nepal,"977,380",+111,"11,945 ",+1,"958,193",+385,"7,242",100,"32,566",398,"5,440,278","181,268","30,012,291 ",Asia
Belarus,"927,464","+1,949","6,535 ",+14,"918,284","+2,561","2,645",,"98,205",692,"12,510,624","1,324,699","9,444,127 ",Europe
Lithuania,"923,517","+4,805","8,489 ",+5,"834,226","+5,045","80,802",81,"347,344","3,193","7,799,620","2,933,514","2,658,798 ",Europe
Slovenia,"900,908","+1,911","6,341 ",+5,"865,926","+3,866","28,641",80,"433,250","3,049","2,576,655","1,239,124","2,079,416 ",Europe
Bolivia,"894,200",+425,"21,453 ",+10,"793,814","+1,395","78,933",220,"74,897","1,797","2,669,468","223,590","11,939,095 ",South America
UAE,"881,919",+447,"2,301 ",,"840,077","+1,436","39,541",,"87,404",228,"139,374,445","13,812,989","10,090,100 ",Asia
Uruguay,"851,241","+2,191","7,031 ",+17,"828,444","+3,399","15,766",120,"243,640","2,012","5,743,270","1,643,821","3,493,854 ",South America
Ecuador,"836,216",,"35,264 ",,N/A,N/A,N/A,759,"46,224","1,949","2,470,170","136,544","18,090,693 ",South America
Costa Rica,"814,583","+1,771","8,082 ",+9,"686,840","+3,849","119,661",116,"157,503","1,563","3,712,867","717,897","5,171,865 ",North America
